都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,データ名称,データ概要,データ形式,分類,更新頻度,URL,API対応有無,ライセンス,登録日,最終更新日,備考
300004,1400000045,和歌山県,,【和歌山県】工業統計調査　和歌山県結果,工業統計調査の和歌山県結果を掲載しています。,HTML,企業・家計・経済,,https://data.bodik.jp/dataset/300004_020300_kogyo_tokei,有,Creative　Commons　Attribution　4.0　International,2021-05-27,2022-07-14,
300004,1400000046,和歌山県,,【和歌山県】経済センサス　和歌山県結果,和歌山県の経済センサスを掲載しています。,HTML,企業・家計・経済,３年に１回,https://data.bodik.jp/dataset/300004_020300_keizai_census,有,Creative　Commons　Attribution　4.0　International,2021-05-27,2022-07-14,
300004,1400000047,和歌山県,,【和歌山県】漁業センサス　和歌山県結果,和歌山県の漁業センサスを掲載しています。,HTML,農林水産業,５年に１回,https://data.bodik.jp/dataset/300004_020300_gyogyo_census,有,Creative　Commons　Attribution　4.0　International,2021-05-27,2022-07-14,
300004,1400000048,和歌山県,,【和歌山県】商業動態統計調査　和歌山県結果,商業動態統計調査の和歌山県結果を掲載しています。,HTML,商業・サービス業,,https://data.bodik.jp/dataset/300004_020300_shogyo_dotai_tokei,有,Creative　Commons　Attribution　4.0　International,2021-05-27,2022-07-14,
300004,1400000049,和歌山県,,【和歌山県】商業統計調査　和歌山県結果,商業統計調査の和歌山県結果を掲載しています。,HTML,商業・サービス業,５年に１回,https://data.bodik.jp/dataset/300004_020300_shogyo_tokei2,有,Creative　Commons　Attribution　4.0　International,2021-05-27,2022-07-14,
300004,1400000050,和歌山県,,【和歌山県】農林業センサス　和歌山県結果,和歌山県の農林業センサスを掲載しています。,HTML,農林水産業,５年に１回,https://data.bodik.jp/dataset/300004_020300_noringyo_census,有,Creative　Commons　Attribution　4.0　International,2021-05-27,2022-07-14,
300004,1400000051,和歌山県,,【和歌山県】学校基本調査　和歌山県結果,学校基本調査の和歌山県結果を掲載しています。,HTML,教育・文化・スポーツ・生活,,https://data.bodik.jp/dataset/300004_020300_gakko_kihon,有,Creative　Commons　Attribution　4.0　International,2021-05-27,2022-07-14,
300004,1400000052,和歌山県,,【和歌山県】毎月勤労統計調査　和歌山県結果,毎月勤労統計調査の和歌山県結果を掲載しています。,HTML,労働・賃金,１ヶ月に１回,https://data.bodik.jp/dataset/300004_020400_maitsukikinro,有,Creative　Commons　Attribution　4.0　International,2021-06-16,2022-07-14,
300004,1400000053,和歌山県,,【和歌山県】社会生活基本調査　和歌山県結果,社会生活基本調査の和歌山県結果を掲載しています。,HTML,その他,５年に１回,https://data.bodik.jp/dataset/300004_020300_syakaiseikatsukihon,有,Creative　Commons　Attribution　4.0　International,2021-06-16,2022-07-14,
300004,1400000054,和歌山県,,【和歌山県】消費者物価指数　和歌山県（和歌山市）結果,和歌山市の消費者物価指数(CPI)を掲載しています。,HTML,企業・家計・経済,１ヶ月に１回,https://data.bodik.jp/dataset/300004_020300_syohisyabukkasisu,有,Creative　Commons　Attribution　4.0　International,2021-06-16,2022-07-14,
300004,1400000055,和歌山県,,【和歌山県】統計年鑑,和歌山県の統計年鑑を掲載しています。,HTML,行財政,,https://data.bodik.jp/dataset/300004_020300_tokei_nenkan,有,Creative　Commons　Attribution　4.0　International,2021-05-27,2022-07-14,
300004,1400000056,和歌山県,,【和歌山県】平成30年度県民経済計算,和歌山県の平成30年度県民経済計算を掲載しています。,"CSV,　XLSX,　HTML",企業・家計・経済,,https://data.bodik.jp/dataset/300004_020300_kenminkeizai,有,Creative　Commons　Attribution　4.0　International,2021-06-20,2022-07-14,
300004,1400000057,和歌山県,,【和歌山県】推計人口（県人口調査）,和歌山県の推計人口を掲載しています。,HTML,人口・世帯,６ヶ月に１回,https://data.bodik.jp/dataset/300004_020300_suikeizinko,有,Creative　Commons　Attribution　4.0　International,2021-06-29,2022-07-14,
300004,1400000058,和歌山県,,【和歌山県】平成27年産業連関表（13部門）,和歌山県の平成27年産業連関表（13部門）を掲載しています。,"CSV,　HTML",企業・家計・経済,更新しない,https://data.bodik.jp/dataset/300004_020300_sangyorenkanhyo,有,Creative　Commons　Attribution　4.0　International,2021-06-20,2022-07-14,
300004,1400000059,和歌山県,,【和歌山県】鉱工業生産指数,和歌山県の鉱工業生産指数を掲載しています。,"XLS,　CSV,　HTML,　PDF",鉱工業,,https://data.bodik.jp/dataset/300004_020300_kokogyo,有,Creative　Commons　Attribution　4.0　International,2021-06-09,2022-07-14,
300004,1400000060,和歌山県,,【和歌山県】国勢調査　時系列データ,国勢調査の時系列データを掲載しています。,"CSV,　HTML",人口・世帯,５年に１回,https://data.bodik.jp/dataset/300004_020300_kokuseichosa,有,Creative　Commons　Attribution　4.0　International,2021-06-20,2022-07-14,
300004,1400000061,和歌山県,,【和歌山県】近郊緑地保全区域,和歌山県内の近郊緑地保全区域図です。,ZIP,国土・気象,,https://data.bodik.jp/dataset/300004_020100_kinko_ryokuchi,有,Creative　Commons　Attribution　4.0　International,2021-05-14,2022-10-01,
300004,1400000062,和歌山県,,【和歌山県】避難先情報一覧,和歌山県内の避難先情報一覧です。,CSV,司法・安全・環境,,https://data.bodik.jp/dataset/300004_011400_hinanjo,有,Creative　Commons　Attribution　4.0　International,2021-05-19,2023-02-20,
300004,1400000063,和歌山県,,【和歌山県】津波浸水想定図（東海・東南海・南海3連動地震）,東海・東南海・南海3連動地震による浸水想定図を掲載しています。,"ZIP,　HTML",国土・気象,不定期,https://data.bodik.jp/dataset/300004_011400_3ren_tsunami,有,Creative　Commons　Attribution　4.0　International,2021-05-19,2022-10-01,
300004,1400000064,和歌山県,,【和歌山県】津波浸水想定図（南海トラフ）,南海トラフ巨大地震による浸水想定図を掲載しています。,"ZIP,　HTML",国土・気象,不定期,https://data.bodik.jp/dataset/300004_011400_nankai_tsunami01,有,Creative　Commons　Attribution　4.0　International,2021-05-19,2022-07-14,
300004,1400000065,和歌山県,,【和歌山県】わかやまの美しい棚田・段々畑認定地域,わかやまの美しい棚田・段々畑認定地域の名称、所在地、面積等の概要です。,CSV,農林水産業,,https://data.bodik.jp/dataset/300004_070100_tanada,有,Creative　Commons　Attribution　4.0　International,2021-10-18,2022-07-14,
300004,1400000066,和歌山県,,【和歌山県】福祉保健施設一覧,福祉保健施設一覧を掲載しています。,HTML,その他,,https://data.bodik.jp/dataset/300004_fukushishisetu,有,Creative　Commons　Attribution　4.0　International,2022-07-14,2023-02-21,
300004,1400000067,和歌山県,,【和歌山県】水質汚濁防止法に基づく特定事業場一覧,（和歌山市を除く）和歌山県内の水質汚濁防止法に基づく特定事業場の一覧を掲載しています。,PDF,司法・安全・環境,３ヶ月に１回,https://data.bodik.jp/dataset/300004_waterlist,有,Creative　Commons　Attribution　4.0　International,2022-07-13,2023-02-17,
300004,1400000068,和歌山県,,【和歌山県】オープンデータ一覧（推奨データセット準拠）,推奨データセットに準拠したオープンデータ一覧です。,"XLSX,　CSV",その他,１ヶ月に１回,https://data.bodik.jp/dataset/300004_open_data_list,有,Creative　Commons　Attribution　4.0　International,2022-06-17,2023-03-08,
300004,1400000069,和歌山県,,【和歌山県】令和2年観光客動態調査報告書,令和2年和歌山県観光客動態調査報告書です。,PDF,運輸・観光,,https://data.bodik.jp/dataset/300004_062400_kankodoutai,有,Creative　Commons　Attribution　4.0　International,2021-08-23,2022-07-14,
300004,1400000070,和歌山県,,【和歌山県】市町村財政状況資料集（令和元年度）,令和元年度決算に係る各種数値や類似団体との比較・分析を取りまとめた「財政状況資料集」です。,XLSX,行財政,,https://data.bodik.jp/dataset/300004_010600_zaiseizyoukyoushiryousyuu,有,Creative　Commons　Attribution　4.0　International,2021-10-28,2022-10-01,
300004,1400000071,和歌山県,,【和歌山県】市町村歳入歳出決算額の推移（平成27年度～令和元年度）,和歌山県内市町村の平成27年度から令和元年度（過去5年間）までの歳入歳出推移について市町村ごとに掲載しています。,PDF,行財政,,https://data.bodik.jp/dataset/300004_010600_kessansuii,有,Creative　Commons　Attribution　4.0　International,2021-10-28,2022-07-14,
300004,1400000072,和歌山県,,【和歌山県】令和２年度版　市町村税政の概況,和歌山県内各市町村における、市町村税の決算状況・徴収実績の状況等を掲載しています。,"PDF,　XLS",行財政,,https://data.bodik.jp/dataset/300004_010600_zeiseinogaikyou,有,Creative　Commons　Attribution　4.0　International,2021-10-27,2022-07-14,
300004,1400000073,和歌山県,,【和歌山県】市町村、一部事務組合の給与・定員管理等の状況,和歌山県内各市町村、一部事務組合の給与・定員管理等の状況に関する資料です。,"HTML,　ZIP",行財政,,https://data.bodik.jp/dataset/300004_010600_kyuuyoteiin,有,Creative　Commons　Attribution　4.0　International,2021-10-27,2022-09-22,
300004,1400000074,和歌山県,,【和歌山県】住民基本台帳に基づく人口等,住民基本台帳法（昭和42年法律第81号）に基づき市区町村長が備える住民基本台帳に記録された住民に係る1月1日現在の人口等です。,CSV,人口・世帯,,https://data.bodik.jp/dataset/300004_010600_jukijinkoutou,有,Creative　Commons　Attribution　4.0　International,2021-10-27,2022-08-29,
300004,1400000075,和歌山県,,【和歌山県】和歌山県内市町村等に係る令和元年度決算の概要について,和歌山県内の市町村等の健全化判断比率等、普通会計、公営企業会計、土地開発公社、第三セクターに係る令和元年度決算の概要を掲載しております。,"DOCX,　PPT,　XLS,　DOC",行財政,,https://data.bodik.jp/dataset/300004_010600_kessannogaiyou,有,Creative　Commons　Attribution　4.0　International,2021-10-26,2022-10-01,
300004,1400000076,和歌山県,,【和歌山県】令和2年度　和歌山県公共交通機関等資料集,令和2年度の和歌山県における公共交通についてのデータを掲載しています。,XLS,運輸・観光,１年に１回,https://data.bodik.jp/dataset/300004_publictransport_sources,有,Creative　Commons　Attribution　4.0　International,2022-07-20,2023-02-15,
300004,1400000077,和歌山県,,【和歌山県】私立学校一覧,和歌山県内私立学校の一覧を掲載しています。,HTML,教育・文化・スポーツ・生活,,https://data.bodik.jp/dataset/300004_022100_privateschoollist,有,Creative　Commons　Attribution　4.0　International,2022-07-28,2022-07-29,
300004,1400000078,和歌山県,,【和歌山県】病害虫発生予察事業年報,和歌山県農作物病害虫防除所の事業年報を掲載しています。,PDF,農林水産業,１年に１回,https://data.bodik.jp/dataset/300004_hasseiyosatsu,有,Creative　Commons　Attribution　4.0　International,2022-08-02,2022-08-02,
300004,1400000079,和歌山県,,【和歌山県】サイクルステーション登録施設一覧,サイクルステーション登録施設の一覧を掲載しています。,HTML,運輸・観光,１年に１回,https://data.bodik.jp/dataset/300004_sycle_station,有,Creative　Commons　Attribution　4.0　International,2022-07-29,2022-08-05,
300004,1400000080,和歌山県,,【和歌山県】洪水浸水想定区域図,和歌山県の洪水浸水想定区域図を掲載しています。,PDF,国土・気象,不定期,https://data.bodik.jp/dataset/300004_kasenka01,有,Creative　Commons　Attribution　4.0　International,2022-08-01,2022-12-26,
300004,1400000081,和歌山県,,【和歌山県】介護保険指定事業所・施設一覧,和歌山県の介護保険指定事業所・施設一覧を掲載しています。,HTML,その他,３ヶ月に１回,https://data.bodik.jp/dataset/300004_tyojyu_kaigohoken_list,有,Creative　Commons　Attribution　4.0　International,2022-08-15,2022-10-01,
300004,1400000082,和歌山県,,【和歌山県】令和元年度国民健康保険事業状況「紀州の国保」,和歌山県における国民健康保険の事業概要、統計情報を掲載しています。,HTML,社会保障・衛生,,https://data.bodik.jp/dataset/300004_050600_r1kishunokokuho,有,Creative　Commons　Attribution　4.0　International,2022-08-31,2022-08-31,
300004,1400000083,和歌山県,,【和歌山県】県内農耕地土壌のデータ一覧,県内農耕地土壌の分類および一般理化学性のデータ一覧を掲載しています。,XLSX,農林水産業,４年に１回,https://data.bodik.jp/dataset/300004_noushikankyo,有,Creative　Commons　Attribution　4.0　International,2022-08-31,2022-08-31,
300004,1400000084,和歌山県,,【和歌山県】指定医療機関一覧,難病法に基づく和歌山県指定医療機関の一覧を掲載しています。,"PDF,　XLSX",その他,１年に１回,https://data.bodik.jp/dataset/300004_nanbyou,有,Creative　Commons　Attribution　4.0　International,2022-08-31,2022-09-01,
300004,1400000085,和歌山県,,【和歌山県】HACCPシステム認証施設一覧,和歌山県HACCPシステム認証施設の一覧を掲載しています。,HTML,社会保障・衛生,随時（認証施設変更時）,https://data.bodik.jp/dataset/300004_haccpcertification,有,Creative　Commons　Attribution　4.0　International,2022-09-01,2022-09-02,
300004,1400000086,和歌山県,,【和歌山県】肝がん・重度肝硬変治療研究促進事業指定医療機関名簿,和歌山県内の肝がん・重度肝硬変治療研究促進事業指定医療機関の名簿,PDF,その他,１年に１回,https://data.bodik.jp/dataset/300004_lung_cancer_hospital_list,有,Creative　Commons　Attribution　4.0　International,2022-09-01,2022-09-02,
300004,1400000087,和歌山県,,【和歌山県】特定不妊治療指定医療機関,和歌山県内の特定不妊治療指定医療機関の一覧を掲載しています。,HTML,その他,,https://data.bodik.jp/dataset/300004_tokutei_funin,有,Creative　Commons　Attribution　4.0　International,2022-09-06,2022-09-06,
300004,1400000088,和歌山県,,【和歌山県】令和３年度版　市町村税政の概況,和歌山県内各市町村における、市町村税の決算状況・徴収実績の状況等を掲載しています。,"PDF,　XLS",行財政,１年に１回,https://data.bodik.jp/dataset/300004_010600_zeiseinogaikyou_r3,有,Creative　Commons　Attribution　4.0　International,2022-09-20,2022-10-11,
300004,1400000089,和歌山県,,【和歌山県】南紀熊野ジオパークの見どころ一覧,南紀熊野ジオパークの見どころ一覧を掲載しています。,CSV,運輸・観光,不定期,https://data.bodik.jp/dataset/300004_geopark001,有,Creative　Commons　Attribution　4.0　International,2022-11-02,2022-11-09,
300004,1400000090,和歌山県,,【和歌山県】薬局機能情報提供システム,県内の薬局の機能情報をインターネットホームページで公表しています。,HTML,その他,１年に１回,https://data.bodik.jp/dataset/300004_yakkyokukinou_list,有,Creative　Commons　Attribution　4.0　International,2022-12-06,2022-12-07,
300004,1400000091,和歌山県,,【和歌山県】高野・熊野エリアと白浜エリアの路線バス情報のオープンデータ「標準的なバス情報フォーマット（GTFS-JP）」,熊野地域及びその周辺地域（高野地域、白浜地域）を含むバス情報のデータを「標準的なバス情報フォーマット（GTFS-JP）」の形式で整理しています。,ZIP,運輸・観光,不定期,https://data.bodik.jp/dataset/300004_062500_koyakumano4,有,Creative　Commons　Attribution　4.0　International,2022-12-07,2022-12-07,
300004,1400000092,和歌山県,,【和歌山県】市町村別汚水処理人口普及率,和歌山県の市町村別汚水処理人口普及率を掲載しています。,"CSV,　XLSX,　PDF",運輸・観光,１年に１回,https://data.bodik.jp/dataset/300004_osuisyori,有,Creative　Commons　Attribution　4.0　International,2023-02-24,2023-03-01,
