市町村名,№,トイレ名　　　　　　　　　　　　　　　　　　　　　　　　　　　,住所,緯度,経度,現況写真　　（外観、内部）,利用可能時間,一般利用者用駐車場・無料,一般利用者用駐車場・有料,障害者用駐車場,駐車場スペース,多目的トイレ設備内容・洋式,多目的トイレ設備内容・ベビーベッド,多目的トイレ設備内容・ベビーチェア,多目的トイレ設備内容・介護用ベッド,多目的トイレ設備内容・温水洗浄洗浄,多目的トイレ設備内容・オストメイト洗浄,一般トイレ設備内容・男性用トイレ・洋式,一般トイレ設備内容・男性用トイレ・温水洗浄便座,一般トイレ設備内容・男性用トイレ・和式,一般トイレ設備内容・男性用トイレ・小便器,一般トイレ設備内容・男性用トイレ・荷物置き場,一般トイレ設備内容・男性用トイレ・ベビーベッド,一般トイレ設備内容・男性用トイレ・ベビーチェア,一般トイレ設備内容・男性用トイレ・音姫,一般トイレ設備内容・女性用トイレ・洋式,一般トイレ設備内容・女性用トイレ・温水洗浄便座,一般トイレ設備内容・女性用トイレ・和式,一般トイレ設備内容・女性用トイレ・小便器,一般トイレ設備内容・女性用トイレ・荷物置き場,一般トイレ設備内容・女性用トイレ・ベビーベッド,一般トイレ設備内容・女性用トイレ・ベビーチェア,一般トイレ設備内容・女性用トイレ・音姫,設備備考
和歌山市,3,友ヶ島池尻公衆トイレ,和歌山市加太字笘ヶ沖島2673-1,34.28081,135.00201,あり,終日,,,,,1,,,,,,1,,1,4,フック,,,,2,,2,,フック,,,,
和歌山市,4,友ヶ島第３砲台跡下公衆トイレ,和歌山市加太字笘ヶ沖島2673-1,34.280721,135.006554,あり,終日,,,,,,,,,,,,,1,2,,,,,1,,1,,,,,,
和歌山市,5,加太大波止公衆トイレ,和歌山市加太118,34.274064,135.066396,あり,終日,,,,,1,1,,,1,,,,1,1(1),,,,,1,1,2,,フック,,,,
和歌山市,6,深山海岸公衆トイレ,和歌山市深山地内,34.288084,135.071741,あり,終日,,,,,1,1,,,,,,,1(1),1(1),,,,,,,,,,,,,男女兼用
和歌山市,7,加太海岸公衆トイレ,和歌山市加太地先,34.276639,135.073606,あり,終日,,,,,1,,1,1,1,,,,1,2(1),,,1,,,,2(2),,フック,,1,,
和歌山市,8,磯の浦海水浴場公衆トイレ,和歌山市磯の浦379番地先,34.259729,135.094753,あり,終日,,,,,1,1,1,,1,,1,1,2,5(1),フック,,,,2,2,3,,フック,,,,
和歌山市,9,和歌浦公衆トイレ,和歌山市新和歌浦1-1,34.187586,135.161332,あり,終日,,,,,1,1,1,,1,,,,1(1),3(1),棚,,,,1(1),1,1(1),,棚/フック,,,有,
和歌山市,10,加太船着場公衆トイレ,和歌山市加太地先,34.274964,135.070282,あり,終日,,,,,,,,,,,1,,,1,,,,,,,,,,,,,男女兼用
和歌山市,11,和歌山公園内西の丸公衆トイレ,和歌山市一番丁3番地,34.229036,135.170653,あり,終日,,,,,2,1,,,2,,1,1,1,6,フック,,,,1,1,5,,フック,,1,有,女性用の温水洗浄便座は洋にのみ、多目的２つ有
和歌山市,12,和歌山公園内砂の丸公衆トイレ,和歌山市一番丁3番地,34.227578,135.16957,あり,終日,,,,,,,,,,,,,1,2(2),棚,,,,,,1,,フック,,,,
和歌山市,13,和歌山公園内不明門公衆トイレ,和歌山市一番丁3番地,34.226758,135.17146,あり,終日,,,,,1,1,,,1,1,1(1),1,1(1),3(1),フック,,1,有,2(2),2,1(1),,フック,,1,有,男性用の温水洗浄便座は洋にのみ
和歌山市,14,和歌山公園内動物園公衆トイレ,和歌山市一番丁3番地,34.22669,135.172788,あり,終日,,,,,,,,,,,1,1,1,2(2),棚/フック,,,,2,2,1,1(1),フック,,,,個室外にベビーベッド有
和歌山市,15,和歌山公園内桜林（岡口門北）公衆トイレ,和歌山市一番丁3番地,34.227162,135.174119,あり,終日,,,,,1,,,,1,,,,1,5(1),棚/フック,,,,,,4,,,,,,
和歌山市,16,和歌山公園内桃林（伏虎像東）公衆トイレ,和歌山市一番丁3番地,34.228307,135.174134,あり,終日,,,,,,,,,,,,,1,2(2),,,,,,,1,,フック,,,,
和歌山市,17,和歌山公園内二の丸公衆トイレ,和歌山市一番丁3番地,34.229428,135.173025,あり,終日,,,,,,,,,,,,,1,4,棚/フック,,,,1,1,2,,フック,,,有,女性用の温水洗浄便座は洋にのみ
和歌山市,18,和歌山公園内天守閣前広場公衆トイレ,和歌山市一番丁3番地,34.227175,135.171481,あり,終日,,,,,,,,,,,,,1,2,フック,,1,,1,1,1,1,フック,,,,個室外にベビーベッド有、女性用小便器は男児用
和歌山市,19,和歌山公園内天守閣中庭公衆トイレ,和歌山市一番丁3番地,34.227545,135.171243,あり,9：00～17：30,,,,,,,,,,,2,2,,4,,,,,2,2,2,,フック,,,有,
和歌山市,20,浜の宮ビーチ公衆トイレ２,和歌山市毛見,34.163408,135.183293,あり,終日,,,,,1,,,,,,,,2(1),5(1),フック,,,,,,5(1),,フック,,,,
和歌山市,21,浜の宮ビーチ公衆トイレ３,和歌山市毛見,34.162126,135.183476,あり,終日,,,,,1,,,,,,,,2(1),5(1),フック,,,,,,3(1),,フック,,,,男性用の片方にのみフック有、多目的使用禁止
和歌山市,22,JR和歌山駅西口公衆トイレ,和歌山市美園町5-61,34.232533,135.191105,なし,終日,,,,,,,,,,,2,2,,4,,,,,2,2,,,,,,,
和歌山市,23,JR和歌山駅東口公衆トイレ,和歌山市太田1丁目15-3,34.232486,135.192017,なし,終日,,,,,1,,1,,1,,1,,,2,,,,,2,2,,,,,,,
和歌山市,24,深山観光広場公衆トイレ,和歌山市深山105,34.29037,135.074549,あり,終日,,,,,1,,,,1,,,,1,2(1),,,,,1,1,1,,フック,,,,
和歌山市,25,磯の浦海水浴場公衆トイレ(東）,和歌山市磯の浦,34.259335,135.095823,なし,終日,,,,,1,,,,1,,,,1,2,,,,,,,3,,,,,,
和歌山市,26,マリーナシティー公衆トイレ,和歌山市毛見１５３８,34.154474,135.177759,あり,終日,,,,,1,,,,,,1,,2,5(1),棚,,,,2,,6,1,棚/フック,,,,個室外にベビーベッド有
和歌山市,27,紀三井寺公園内テニスコート付近公衆トイレ,和歌山市毛見200番,34.167247,135.190343,あり,終日,,,,,1,,,,1,,1,1,1,4(1),棚,,,,1,1,2(1),,棚,,,有,男性用の温水洗浄便座は洋にのみ
和歌山市,28,和歌山大学前駅前公衆トイレ,和歌山市中575-3,34.276367,135.147021,なし,,,,,,1,,,,,1,1,,,2,,,,,2,,,,,,,,
和歌山市,29,紀三井寺緑道亀の川付近公衆トイレ,和歌山市毛見200番,34.168775,135.188509,あり,終日,,,,,1,1,1,,1,1,1,1,,1,,,,有,1,1,,,フック,,,有,
和歌山市,34,河西公園公衆トイレA棟,和歌山市西庄,34.247282,135.117772,あり,終日,,,,,1,,,,1,1,,,1,2(1),棚/フック,,,,,,2,,棚,,,,
和歌山市,35,河西公園公衆トイレB棟,和歌山市西庄,34.248667,135.114834,あり,終日,,,,,1,,1,,1,,,,1,2(1),フック,,,,,,2,,,,,,
和歌山市,36,河西公園公衆トイレC棟,和歌山市西庄,34.250009,135.112515,あり,終日,,,,,1,,1,,1,,,,1,2(1),棚,,,,,,2,,,,,,
和歌山市,37,河西公園公衆トイレD棟,和歌山市西庄,34.251377,135.1104,あり,終日,,,,,1,,1,,1,,,,1,2(1),フック,,,,,,2,,,,,,
和歌山市,38,河西公園公衆トイレE棟,和歌山市西庄,34.252772,135.106439,あり,終日,,,,,1,,1,,1,,,,1,2,棚,,,,,,2,,フック,,,,棚小さいサイズあり
和歌山市,39,河西公園公衆トイレF棟,和歌山市西庄,34.253945,135.105591,あり,終日,,,,,1,,,,1,,1,,,2(1),フック,,,,,,2,,,,,,
和歌山市,40,河西公園公衆トイレG棟,和歌山市西庄,34.25641,135.100953,あり,終日,,,,,1,,1,,,,,,1,2(1),棚,,,,,,2,,棚/フック,,,,多目的トイレ開いていない
和歌山市,41,河西公園水泳場便所棟(プール内）,和歌山市西庄,34.254358,135.104569,あり,10:00～17:00,,,,,2,1,,,1,,,,1,2,フック,,,,,,2,,フック,,,,多目的２つ有、内小便器１つ有
和歌山市,42,河西公園水泳場便所棟(更衣室）,和歌山市西庄,34.254794,135.104108,あり,10:00～17:00,,,,,,,,,,,,,1,2,フック,,,,,,3,,フック,,,,
和歌山市,43,8の字公園公衆トイレ,和歌山市和歌浦南3丁目4,34.186305,135.168713,あり,終日,,,,,1,,,,1,1,,,1(1),1(1),棚,,,,,,1(1),,棚/フック,,,,
和歌山市,44,8の字公園（東出）公衆トイレ,和歌山市和歌浦南2丁目3,34.187702,135.166333,あり,終日,,,,,,,,,,,,,1,2(1),,,,,,,,,,,,,男女兼用
和歌山市,45,御手洗池公衆トイレ,和歌山市和歌浦西２丁目,34.190159,135.166432,あり,終日,,,,,1,,,,,,1,,1,3(1),,,,,1,,2,,棚/フック,,,,女性用の洋のみ棚/フック有
和歌山市,46,雑賀崎漁港公衆トイレ,和歌山市田野１０１番３,34.188386,135.148248,あり,終日,,,,,1,,,,,,1,,1(1),2(1),棚,,,,1,,2(1),,棚/フック,,,,女性用の洋のみ棚/フック有
和歌山市,47,浪早ビーチ公衆トイレ,和歌山市田野,34.183751,135.150273,あり,終日,,,,,1,,,,,,1,,1(1),2(1),,2,,1(1),1,,2(1),,フック,,,,
和歌山市,48,浜の宮ビーチ公衆トイレ１,和歌山市毛見,34.165208,135.182975,あり,終日,,,,,1,,,,,,,,2,5,,,,,,,5(1),,フック,,,,
和歌山市,49,片男波公園駐車場公衆トイレ,和歌山市和歌浦南3丁目1700-2,34.18321,135.172265,あり,終日,,,,,1,,,,1,1,1,1,1,3(1),棚,,,,1,有,2,,棚/フック,1,,,
和歌山市,50,片男波公園公衆トイレ,和歌山市和歌浦南3丁目1700-2,34.17861,135.175141,あり,9:00～17:00,,,,,1,,,,1,1,1,1,1,3(1),他,,,,1,有,2,,棚/フック,,,,女性用の洋にのみ棚有
和歌山市,51,森林公園トイレ１,和歌山市深山600,34.287711,135.093939,あり,終日,0,0,0,80,0,0,0,0,0,0,0,0,1(0),2,0,0,0,0,0,0,2（0）,0,0,0,0,0,
和歌山市,52,森林公園トイレ２,和歌山市深山600,34.287711,135.093939,あり,終日,0,0,0,80,0,0,0,0,0,0,0,0,1(0),2,0,0,0,0,0,0,2（0）,0,0,0,0,0,
和歌山市,53,森林公園トイレ３,和歌山市深山600,34.287711,135.093939,なし,終日,0,0,0,80,0,0,0,0,0,0,0,0,1(0),0,0,0,0,0,0,0,0,0,0,0,0,0,男女兼用
和歌山市,54,四季の郷公園四季さい館1階トイレ,和歌山市明王寺85,34.21614,135.259157,あり,9:00～17:00,150,0,6,92,2,1,0,0,0,0,1(0),0,1（0）,3,0,0,0,0,1(0),0,2（0）,0,0,0,0,0,
和歌山市,55,四季の郷公園四季さい館2階トイレ,和歌山市明王寺85,34.21614,135.259157,あり,9:00～17:00,150,0,6,92,1,0,0,0,0,0,1（0）,0,1（0）,4,0,0,0,0,1(0),0,2（0）,0,0,1,0,0,
和歌山市,56,四季の郷公園屋外トイレ１,和歌山市明王寺85,34.21614,135.259157,あり,終日,150,0,6,92,1,0,0,0,0,0,0,0,1（0）,2,0,0,0,0,0,0,2（0）,0,0,0,0,0,
和歌山市,57,四季の郷公園屋外トイレ２,和歌山市明王寺85,34.21614,135.259157,あり,終日,150,0,6,92,1,0,0,0,0,0,0,0,1（0）,2,0,0,0,0,0,0,2（0）,0,0,0,0,0,
和歌山市,58,和歌山駅西口地下広場公衆便所,和歌山市美園町５丁目１３番２,34.186100,135.185000,なし,4:30～25:00,,,,,1,,,,1,,1,1,2,4(1),,,,,2,2,,,棚/フック,,,,
和歌山市,59,雑賀町公衆便所,和歌山市６１番地,34.233684,135.177867,なし,終日,,,,,1,1,1,,,,,,1,1,,,,,,,1,,フック,,,,
和歌山市,60,堀詰橋プロムナードトイレ,和歌山市屋形町1-1,34.232219,135.176931,なし,終日,,,,,1,,,,,,,,,1,,,,,,,,,,,,,
海南市,1,藤白神社,海南市藤白434-1,34.144338,135.209356,あり,終日,,,,,1,1,,,1,,,,1,2(1),棚/フック,,,,1,1,2,,棚/フック,,,,
海南市,2,亀池広場公衆トイレ,海南市阪井452,34.155755,135.259237,あり,終日,,,,,1,,,,,1,,,,1(1),,,,,1(1),,1,,フック,,,,女性用の和のみフック有
海南市,3,JR加茂郷駅前公衆トイレ,海南市下津町黒田45-2,34.126075,135.159912,なし,,,,,,1,,,,1,1,1,1,,1,,,,,1,1,,,,,,,
海南市,4,JR下津駅前公衆トイレ,海南市下津町下津,34.109125,135.145524,なし,,,,,,1,,,,1,1,1,1,,1,,,,,1,1,,,,,,,
海南市,5,JR海南駅公衆トイレ,海南市名高51-2,34.154604,135.214326,あり,終日,,,,,1,1,,,1,1,1,,1,3(1),棚/フック,,,,1(1),,3(3),,棚/フック,,4,,
海南市,6,藤白塔下王子跡公衆トイレ,海南市下津町橘本1614-3,34.136764,135.199295,あり,終日,,,,,1,,,,1,1,,,1,2(2),棚,,,,,,2(2),,棚,,,,
海南市,7,長保寺,海南市下津町上689,34.108613,135.165399,あり,9:00～17:00,,,,,,,,,,,,,1,3(1),,,,,1,1,2(2),,,,,,
海南市,8,善福院,海南市下津町梅田270,34.130841,135.177248,あり,9:00～16:00,,,,,,,,,,,,,1,2(1),,,,,1,1,1(1),,,,,,
海南市,9,紀州漆器伝統産業館内公衆トイレ,海南市船尾222,34.160648,135.203501,なし,,,,,,,,,,,,1,1,1,3,,,,,1,1,1,,,,,,
紀美野町,1,小川宮前公衆トイレ,紀美野町奥佐々21番地2,34.133207,135.327354,あり,終日,,,,,,,,,,,1,1,1,2,フック,,,,,,,,,,,,男女兼用
紀美野町,2,紀美野町のかみふれあい公園公衆トイレ,紀美野町西野971-1,34.179805,135.348222,あり,9：00～17：00,,,,,1,1,,,1,,1(1),1,1(1),3(1),フック,,,,1(1),1,3(3),1,フック,,1,,女性用の洋式にベビーチェア有
紀美野町,3,生石高原童謡公衆トイレ,紀美野町中田899-29,34.105312,135.327384,あり,終日,,,,,1,1,,,1,,1(1),1,1(1),3(1),フック,,,,1(1),1,2,,フック,,,,
紀美野町,4,真国公衆トイレ(診療所併設）,紀美野町動木287,34.167218,135.307528,なし,,,,,,1,,,,1,,1,1,1,3,,,,,1,1,2,,フック,,,,
紀美野町,5,小西公衆トイレ,紀美野町小西169-7,34.152121,135.310897,あり,終日,,,,,1,,,,1,1,1,1,,1,,,,,1,1,,,,,,,
紀美野町,6,みさと天文台公衆トイレ,紀美野町松ヶ峯180,34.144677,135.406516,なし,,,,,,1,,,,1,,2,2,,1,,,,,3,3,,,,,,,
岩出市,1,県植物公園緑花センター　(本館事務所),岩出市東坂本672,34.28608,135.327135,あり,9:00～17:00,500,,,,1,,,,1,,1(1),,,2,棚,,,,,,,,,,,,男女兼用
岩出市,2,県植物公園緑花センター　(駐車場南側),岩出市東坂本672,34.286132,135.326837,あり,9:00～17:00,500,,,,1,,,,,,,,1,4,棚フック,,,,,,3,,フック,,,,
岩出市,3,県植物公園緑花センター　(別館展示室),岩出市東坂本672,34.286498,135.327776,あり,9:00～17:00,500,,,,1,,,,,1,,,1,1(1),棚,,,,,,2,,フック,,,,
岩出市,4,根来寺公衆トイレ（西側）,岩出市根来2286,34.286082,135.316748,あり,　9:10～16:30,有,,,,,,,,,,1,1,2,7,棚,,,,3,3,5,,フック,,,,
岩出市,5,根来寺公衆トイレ（北側）,岩出市根来2284,34.286689,135.317555,あり,　9:10～16:30,100,,,,1,1,,,1,1,1,1,,2,,,,,1,1,1,,フック,,,,
岩出市,6,道の駅「根来さくらの里」公衆トイレ,岩出市押川37-1,34.311848,135.306987,あり,終日,49,,,,1,1,,,1,1,1,1,2,7,棚,,,,4,4,4,,フック,,,,
岩出市,7,岩出市民俗資料館トイレ,岩出市根来2306-1,34.2858206,135.3177317,なし,9:00～17:00,80,,,,1,,,,1,1,2,2,1,5,棚,,,,2,2,3,,フック,,,,
紀の川市,1,大池遊園駅前公衆トイレ,紀の川市貴志川町長山,34.204725,135.285455,なし,,,,,,1,,,,1,1,1,1,,1,,,,,1,1,,,,,,,
紀の川市,2,大門橋前駐車場公衆トイレ,紀の川市粉河2060,34.278075,135.404218,なし,,,,,,1,,,,1,,1,1,,2,,,,,2,2,,,,,,,
紀の川市,3,貴志川観光いちご狩り園公衆トイレ,紀の川市貴志川町神戸238,34.21627,135.316334,なし,,,,,,,,,,,,1,1,,2,,,,,2,2,,,,,,,
紀の川市,4,細野渓流キャンプ場バンガロー旧トイレ,紀の川市桃山町垣内258-1,34.188923,135.421085,なし,,,,,,,,,,,,2,2,,1,,,,,,,,,,,,,男女兼用
紀の川市,5,細野渓流キャンプ場バンガロー側新トイレ,紀の川市桃山町垣内258-1,34.189201,135.42113,あり,終日,70,,,,,,,,,,1,1,,2,,,,,2,2,,,フック,,,,
紀の川市,6,細野渓流キャンプ場駐車場トイレ,紀の川市桃山町垣内258-1,34.1880637,135.4207245,なし,終日,70,,,,,,,,,,2,2,,1,フック,,,,,,,,,,,,男女兼用
紀の川市,7,紀の川市歴史民俗資料館公衆トイレ,紀の川市東国分671,34.267477,135.338779,なし,,,,,,1,,,,,,1,1,,3,,,,,2,2,1,,,,,,
紀の川市,8,葛城山公衆トイレ（葛城山園地公衆便所）,紀の川市切畑969-2,34.347842,135.434862,あり,終日,10,,1,,1,,,,,,1,,,2(1),棚,,,,3,,,,棚/フック,,1,,
紀の川市,9,粉河ハイランドパーク管理棟公衆トイレ,紀の川市粉河町大字中津川,34.341705,135.410541,あり,9:00～17：00,20,,,,,,,,,,1,1,,3,,,,,3,3,,,,,,,
紀の川市,10,最初ヵ峰展望所公衆トイレ,紀の川市竹房,34.240501,135.369205,あり,終日,10,,,,,,,,,,,,1,2,,,,,,,2,,フック,,,,
紀の川市,11,旧名手本陣,紀の川市名手市場641,34.275786,135.435658,あり,10：00～16：00,,,,,,,,,,,3,,,,,,,,,,,,,,,,男女兼用
紀の川市,12,桃山物産センタートイレ,紀の川市桃山町市場,34.242176,135.344295,あり,9:00～17：00,20,,,,1,,,,,,1,1,,2,フック,,,,2,2,,,フック,,,,
紀の川市,13,桃源郷運動公園,紀の川市最上1147-11,34.220844,135.356041,あり,9:00～17:00,180,,,,1,,1,,1,1,1(1),1,1(1),3,棚,,,,2(2),2,1(1),,フック,,1,,
紀の川市,14,平池緑地公園オニバス広場公衆トイレ,紀の川市貴志川町神戸大越1073-1,34.208809,135.303927,あり,終日,15,,1,,1,,,,1,,,,1(1),2(1),,,,,1,,,,,,,,多目的トイレが女子トイレと兼用
紀の川市,15,平池緑地公園野鳥広場公衆トイレ,紀の川市貴志川町神戸大越1073-1,34.211869,135.300484,あり,終日,31,,2,,1,1,,,1,,,,1(1),2(1),,,,,1,1,,,１（１）,,,,
紀の川市,16,貴志川観光物産センタートイレ,紀の川市貴志川町前田135-1,34.218611,135.314468,あり,8:30～17：00,50,,,,,,,,,,1(1),1,,,,,,,1(1),1,,,,,,,
紀の川市,17,大池遊園公衆トイレ,紀の川市貴志川町長山1304-2,34.204397,135.283312,あり,終日,10,,,,1,,,,1,,,,2,4,,,,,,,2,,フック,,,,男性用は小便器のみ個室は供用
紀の川市,18,丹生神社公衆トイレ,紀の川市貴志川町北918-2,34.211249,135.331489,あり,,,,,,1,,,,1,1,,,,1,,,,,,,,,,,,,
橋本市,1,嵯峨谷農村公園前公衆トイレ,橋本市高野口町嵯峨谷,34.340716,135.538382,あり,終日,,,,,1,,,,,,,,1(1),1,フック,,,,,,1(1),,フック,,,,高野口山村体験交流センターの前にある
橋本市,2,JR高野口駅前公衆トイレ,橋本市高野口町名倉7902,34.307645,135.556664,あり,終日,,,,,1,1,,,1,,,,1,2(1),フック,,,,,,2,,棚,,,,
橋本市,3,恋野あじさい公園公衆トイレ,橋本市恋野,34.315873,135.664455,あり,終日,,,,,1,1,,,1,,,,1,2,フック,,,,1,1,1,,フック,,,,
橋本市,4,杉尾公衆トイレ,橋本市杉尾,34.370089,135.641399,あり,終日,,,,,1,,,,1,,,,1,1,フック,,,,,,1,,棚/フック,,,,
橋本市,5,JR橋本駅前公衆トイレ,橋本市古佐田1丁目4-51,34.318034,135.614573,あり,終日,,,,,1,1,,,1,1,1(1),1,1(1),3(1),棚/フック,,1,,2(2),2,1(1),,棚/フック,,,,多目的のみ５：３０～２３：３０までの使用
橋本市,6,国城山公衆トイレ,橋本市国城原,34.292045,135.609983,あり,終日,,,,,,,,,,,,,3,2,,,,,,,,,,,,,男女兼用、ペーパーなし
橋本市,7,くにぎふれあいの里観光公衆トイレ,橋本市南馬場,34.294702,135.598815,なし,営業日に準ずる,,,,,1,,,,1,1,1,1,,2,,,,,2,2,,,,,,,
橋本市,8,隠れ谷池公衆トイレ,橋本市清水220-4,34.305155,135.604791,なし,終日,,,,,1,,,,1,,1,1,,2,,,,,1,1,1,,,,,,
橋本市,9,やどり温泉いやしの湯公衆トイレ,橋本市北宿5,34.256906,135.651262,なし,営業日に準ずる,,,,,1,,,,1,,1,,,2,,,,,2,,,,,,,,
橋本市,10,神野々キャンプ場公衆トイレ,橋本市神野々,34.301733,135.58181,あり,終日,,,,,1,,,,,,,,1,2(1),フック,,,,,,2,,フック,,,,キャンプ場・パターゴルフ場内トイレ、ゲート開閉時間４/１～１０/３１（９：００～１９：００）上記以外（９：００～１７：００）
橋本市,11,高野口公園公衆トイレ1（ステージ前）,橋本市高野口町名倉,34.310199,135.558946,あり,終日,,,,,,,,,,,,,1,2,,,,,,,2,,,,,,桜シーズンは車進入不可
橋本市,12,高野口公園公衆トイレ2（八幡神社駐車場横）,橋本市高野口町名倉,34.31036,135.558294,あり,終日,,,,,,,,,,,,,2,2,,,,,,,,,,,,,男女兼用
橋本市,13,高野口公園公衆トイレ3（休憩所横）,橋本市高野口町名倉,34.310932,135.558724,あり,終日,,,,,,,,,,,,,2,2,,,,,,,,,,,,,男女兼用
橋本市,14,紀望の里,橋本市高野口町大野1807-1,34.319913,135.544829,あり,10時～21時,,,,,1,1,1,,1,,1(1),1,,2(1),フック/その他,,,,2(2),2,,,フック/その他,,,,女性用内一つに「食堂専用トイレ、一般の方は使用禁止」の貼り紙有
橋本市,15,せせらぎ公園公衆トイレ,橋本市高野口町名倉191先外,34.302879,135.552371,あり,終日,,,,,1,1,,,,,,,1(1),2(1),棚/フック,,,,,,2(1),,棚/フック,,2,,
橋本市,16,農業ふれあい公園おもてなし公衆トイレ,橋本市岸上106-3,34.310643,135.586705,あり,終日,,,,,1,1,,,1,1,,,1,2(1),,,,,1,1,1,,棚/フック,,,,男性用の和式使用不可、洋式未確認。女性用個室内１つは医用禁止、便器撤去
かつらぎ町,1,道の駅「紀の川万葉の里」公衆トイレ,かつらぎ町窪,34.284519,135.464521,あり,終日,85,,5,,1,,1,1,1,1,2,2,5,12(1),棚,,,,3(1),3,9,1,フック,1,5,,個室外にベビーベッド有
かつらぎ町,2,柿の茶屋公衆トイレ,かつらぎ町西飯降,34.314179,135.526152,あり,終日,15,,2,,1,,,,1,,,,1,2,,,,,1,1,1,,フック,,,,
かつらぎ町,3,町石道神田地内公衆トイレ,かつらぎ町神田,34.250508,135.528018,あり,終日,2,,1,,1,,,,1,,1,1,,,フック,,,,,,,,,,,,多目的と女性兼用
かつらぎ町,4,丹生都比売神社公衆トイレ（第二駐車場）,かつらぎ町上天野,34.263095,135.521218,あり,終日,30,,,,1,1,,,1,,,,1(1),2(1),フック,,,,1,1,1(1),,棚/フック,,,,棚小さい
かつらぎ町,5,花園久木公衆トイレ,かつらぎ町花園久木,34.150755,135.571823,あり,終日,5,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,男女兼用
