市町村名,№,トイレ名　　　　　　　　　　　　　　　　　　　　　　　　　　　,住所,緯度,経度,現況写真　　（外観、内部）,利用可能時間,一般利用者用駐車場・無料,一般利用者用駐車場・有料,障害者用駐車場,駐車場スペース,多目的トイレ設備内容・洋式,多目的トイレ設備内容・ベビーベッド,多目的トイレ設備内容・ベビーチェア,多目的トイレ設備内容・介護用ベッド,多目的トイレ設備内容・温水洗浄洗浄,多目的トイレ設備内容・オストメイト洗浄,一般トイレ設備内容・男性用トイレ・洋式,一般トイレ設備内容・男性用トイレ・温水洗浄便座,一般トイレ設備内容・男性用トイレ・和式,一般トイレ設備内容・男性用トイレ・小便器,一般トイレ設備内容・男性用トイレ・荷物置き場,一般トイレ設備内容・男性用トイレ・ベビーベッド,一般トイレ設備内容・男性用トイレ・ベビーチェア,一般トイレ設備内容・男性用トイレ・音姫,一般トイレ設備内容・女性用トイレ・洋式,一般トイレ設備内容・女性用トイレ・温水洗浄便座,一般トイレ設備内容・女性用トイレ・和式,一般トイレ設備内容・女性用トイレ・小便器,一般トイレ設備内容・女性用トイレ・荷物置き場,一般トイレ設備内容・女性用トイレ・ベビーベッド,一般トイレ設備内容・女性用トイレ・ベビーチェア,一般トイレ設備内容・女性用トイレ・音姫,設備備考
かつらぎ町,6,花園中南公衆トイレ,かつらぎ町花園中南,34.13576,135.570227,あり,終日,5,,,,1,,,,,,1,1,,2,棚/フック,,,,1,1,2,,棚/フック,,,,個室は男女兼用（棚は内１つにあり）、男性小便器と多目的兼用、個室外にベビーベッド有
かつらぎ町,7,花園北寺公衆トイレ,かつらぎ町花園北寺,34.131757,135.524309,あり,終日,10,,,,1,,,,1,,,,1,1,フック,,,,,,,,,,,,男女兼用
かつらぎ町,8,花園梁瀬公衆トイレ,かつらぎ町花園梁瀬,34.137876,135.517801,あり,終日,5,,,,,,,,,,,,1,2,,,,,1,1,1,,,,,,
かつらぎ町,9,花園臼谷公衆トイレ,かつらぎ町花園梁瀬,34.155509,135.504438,あり,終日,5,,,,1,,,,1,1,,,,1,,,,,,,,,,,,,男女兼用、個室のみ多目的と男女兼用
かつらぎ町,10,高野龍神スカイライン公衆トイレ,かつらぎ町花園久木,34.147165,135.586989,あり,9:30～16:30,23,,,,1,1,,,1,,,,1,3,棚,,,,,,3,,棚,,,,
かつらぎ町,11,堀越公衆トイレ,かつらぎ町東谷,34.340387,135.5018,あり,終日,5,,1,,1,,,,1,,,,1(1),2(1),フック,,,,2,2,1(1),,フック,,1,,
かつらぎ町,12,JR妙寺駅前公衆トイレ,かつらぎ町丁ノ町2228-10,34.298453,135.517623,あり,終日,,,,,1,,,,1,1,,,1,2(1),フック,,,,1,1,1,,フック,,,,
かつらぎ町,13,大久保公衆トイレ,かつらぎ町平,34.343867,135.483372,なし,終日,,,,,1,,,,1,,1,1,,1,,,,,1,1,,,,,,,
かつらぎ町,14,かつらぎ公園公衆トイレ,かつらぎ町新田2530,34.295595,135.516518,なし,終日,,,,,1,,,,1,,1,1,1,3,,,,,2,2,2,,,,,,
かつらぎ町,15,JR笠田駅前公衆トイレ,かつらぎ町大字笠田東20-13,34.292175,135.480245,なし,終日,,,,,1,,,,1,1,,,1,1,,,,,1,1,1,,,,,,
かつらぎ町,16,宝来山神社公衆トイレ,かつらぎ町萩原56,34.291673,135.468828,なし,終日,,,,,1,,,,1,1,1,1,,2,,,,,1,1,,,,,,,
かつらぎ町,17,平和公園公衆トイレ,かつらぎ町大字丁ノ町2530-10,34.295274,135.519449,なし,終日,,,,,,,,,,,1,1,1,3,,,,,,,,,,,,,男女兼用
かつらぎ町,18,JR中飯降駅公衆トイレ,かつらぎ町中飯降地内,34.304255,135.531954,なし,終日,,,,,1,,,,1,1,,,,1,,,,,,,,,,,,,
かつらぎ町,19,河南公衆トイレ,かつらぎ町大字寺尾５４−２０７,34.285699,135.492907,なし,終日,,,,,1,,,,1,1,1,1,,2,,,,,2,2,,,,,,,
かつらぎ町,20,志賀ふれあい会館前公衆トイレ,かつらぎ町志賀,34.221779,135.503479,なし,終日,,,,,1,,,,1,1,1,1,,3,,,,,4,4,,,,,,,
かつらぎ町,21,丹生都比売神社公衆トイレ（第１駐車場）,かつらぎ町上天野230,34.263911,135.520899,なし,終日,,,,,1,,,,1,1,1,1,,2,,,,,3,3,,,,,,,
九度山町,1,慈尊院駐車場公衆トイレ,九度山町慈尊院854番地の3,34.293597,135.548531,あり,終日,10,,1,,1,1,,,1,,1(1),1,,3(1),棚/フック,,,,2(2),1,,,フック,,,有,
九度山町,2,入郷児童館前公衆トイレ,九度山町入郷82,34.2926025,135.5566231,なし,終日,,,,,,,,,,,2,2,,2,,,,,,,,,,,,,男女兼用
九度山町,3,慈尊院観光トイレ,九度山町慈尊院832,34.295374,135.549554,あり,９：００～１７：００,,,,,,,,,,,1,1,,3,,,,,3,3,,,,,,,
九度山町,4,紙遊苑公衆トイレ,伊都郡九度山町慈尊院749-6,34.293876,135.5484461,なし,９：００～１６：３０※毎週月・火曜日休館,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,男女兼用
九度山町,5,丹生官省符神社観光トイレ,九度山町慈尊院835,34.294389,135.549445,なし,９：００～１７：００,,,,,,,,,,,1,1,,2,,,,,2,2,,,,,,,
九度山町,6,まちなか休憩所真田憩い茶屋トイレ,九度山町九度山1722-1,34.290742,135.562929,あり,１０：００～１６：００※毎週木曜日休業,,,,,,,,,,,1,,,1,,,,,,,,,,,,,男女兼用
九度山町,7,丹生川駐車場公衆トイレ（南）,九度山町丹生川246-1,34.271735,135.596915,あり,終日,,,,,1,,,,,,,,1,2,フック,,,,1,,1,,,,,,
九度山町,8,九度山駐車場公衆トイレ,九度山町九度山,34.290708,135.558416,あり,８：００～１８：００,13,,2,,1,1,,,1,,1,1,,1,棚/フック,1,,,1,1,,,棚,,,有,
九度山町,9,九度山駅前公衆トイレ,九度山町九度山,34.288222,135.564426,あり,終日,,,,,1,1,,,1,,1,1,,1(1),棚/フック,,,,1,1,,,棚,,,有,
九度山町,10,道の駅「柿の郷くどやま」公衆トイレ,九度山町入郷５番５,34.293048,135.555696,あり,終日,122,,3,,1,1,1,,1,1,2,2,,4,フック,,,有,10,10,,1,フック,,,有,
高野町,1,大門児童公園公衆トイレ,高野町大字東富貴地内,34.212968,135.575688,あり,終日　　　　　　　　　　　※冬季は施錠,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,男女兼用
高野町,2,ちびっこ野球場公衆トイレ,高野町大字高野山地内,34.219408,135.593577,あり,終日,,,,,1,,,,1,,,,1,3,,,,,3,3,2,,,,,,
高野町,3,金輪公園公衆トイレ,高野町大字高野山地内,34.216898,135.581404,あり,終日　　　　　　　　　　　※冬季は施錠,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,男女兼用
高野町,4,一の橋公衆トイレ,高野町大字高野山地内,34.213643,135.595607,あり,終日,,8,1,,1,1,,,1,1,2,1,,　5(1),フック,,,,6,2,,,,,,,女性用の温水洗浄便座は内２つのみ、男性用は内１つのみ
高野町,5,根本大塔北公衆トイレ,高野町大字高野山地内,34.213802,135.580114,あり,終日,,,,,1,,,,1,1,1(1),1,2(1),4(1),,,,,4,4,3,,,,,,
高野町,6,女人堂公衆トイレ,高野町大字高野山地内,34.22016,135.580894,あり,終日,,,,,1,1,,,1,1,1,1,,3(1),フック,,,,3,2,,,,,,,女性用の温水洗浄便座は内２つのみ
高野町,7,刈萱堂横公衆トイレ,高野町大字高野山地内,34.212603,135.593102,あり,終日,,,,,1,,1,,1,1,1(1),1,1(1),2(1),,,,,1,1,1,,,,,,
高野町,8,金剛峯寺前公衆トイレ,高野町大字高野山地内,34.213243,135.583457,あり,終日,39,,3,,1,,,,1,1,2(2),2,1,7(1),,,,,3,3,2,,棚,,,,
高野町,9,中門前公衆トイレ,高野町大字高野山地内,34.212155,135.579887,あり,終日,17,,,,1,,,,1,1,1(1),1,1(1),3(1),,,,,3,3,2,,,,,,女性用の温水洗浄便座は内２つのみ
高野町,10,千手院公衆トイレ,高野町大字高野山地内,34.213165,135.586709,あり,終日,,,,,1,,,,1,1,,1(1）,,3(1),棚/フック,,,,2,2,,,棚,,,,多目的はセンサー付きの自動ドアです
高野町,11,大門公衆トイレ（高野山駐車場（近畿自然歩道）公衆便所）,高野町大字高野山地内,34.213437,135.57314,あり,終日,,,,,1,1,,,1,1,,,,3(1),,,,,3,3,,,,,,,
高野町,12,中の橋駐車場公衆トイレ（立体）,高野町大字高野山地内,34.2156,135.604802,あり,終日,100,,2,,1,,,,1,1,1,1,1,5(1),棚,,,,4,4,1,,棚,,,,
高野町,13,中の橋（バス停）公衆トイレ,高野町大字高野山地内,34.216056,135.603839,あり,終日,80,,4,,1,1,,,1,1,1,1,2,8(1),フック,,,,4,4,5,,棚,,,,
高野町,14,近畿自然歩道　花坂公衆便所,高野町大字花坂地内,34.220119,135.537405,あり,終日,,,,,1,1,,,1,1,1,,,2,,,,,2,2,,,,,,,
高野町,15,学習展示館前公衆トイレ,高野町大字高野山地内,34.220088,135.597282,あり,終日,,,,,1,,1,,,,,,1,3,,,,,1,1,2,,,,,,
高野町,16,旧白藤小学校公衆トイレ,高野町大字西郷,34.243586,135.572287,なし,終日,,,,,,,,,,,1,1,,2,,,,,2,2,,,,,,,
高野町,17,大門南公衆トイレ,高野町大字高野山内子谷１３－９,34.210646,135.571934,あり,終日,,,,,1,1,1,,1,1,1(1）,1,,1,,,,,,1,1,,,,,,
有田市,1,地ノ島海水浴場公衆トイレ,有田市初島町浜地ノ島地内,34.113199,135.101861,あり,終日,100,,,,,,,,,,1,,,2,,,,,2,,,,,,,,
有田市,2,くまの古道ふれあい広場公衆トイレ,有田市宮原町滝川原1番地,34.080014,135.173591,あり,終日,,,,,1,,,,1,,,,1,1,,,,,,,,,,,,,男女兼用
有田市,3,JR箕島駅前公衆トイレ,有田市箕島地内,34.0861539,135.1249533,なし,終日,9,,1,,1,1,,,1,1,1,1,,1,フック,,,1,1,1,,,棚,,,1,駐車場：1時間無料
有田市,4,ウエノ公園公衆トイレ,有田市宮崎町1166-1,34.07892,135.119532,あり,終日,3,,,,1,,,,1,,,,1,1,,,,,,,1,,,,,,
有田市,5,有田市近畿自然歩道公衆トイレ,有田市宮原町畑409-4,34.100005,135.178652,あり,終日,3,,,,1,,,,,,,,,1,棚/フック,,,,1,,,,棚/フック,,,,温便座のみ
湯浅町,1,JR湯浅駅前公衆トイレ（湯浅町近畿自然歩道公衆便所）,湯浅町湯浅1052,34.033067,135.179702,あり,終日,,,1,,1,,,,,,1,1,,2(1),,,,,1,1,1(1),,フック,,,,
湯浅町,2,田海岸公衆トイレ,湯浅町田地先,34.055115,135.147123,あり,終日,1,,1,,1,,,,1,1,,,1(1),1(1),フック,,,,,,,,,,,,男女兼用
湯浅町,3,小浜海岸公衆トイレ,湯浅町田1232-2,34.050301,135.148704,あり,終日,,,,,1,,,,1,1,,,,1(1),,,,,1,1,,,フック,,,,
湯浅町,4,築港公衆トイレ,湯浅町湯浅2775,34.037202,135.167015,あり,終日,,,,,,,,,,,,,1,1,,,,,,,,,,,,,男女兼用
湯浅町,5,北の町老人憩いの家公衆トイレ,湯浅町大字湯浅709-2,34.037485,135.176661,なし,9:00～17:00,,,,,1,,,,1,1,1,1,,1,,,,,1,1,,,,,,,
湯浅町,6,栖原海岸公衆トイレ,湯浅町栖原951番地先,34.045541,135.161357,なし,,,,,,1,,,,1,1,,,,1,,,,,1,1,,,,,,,
湯浅町,7,吉川老人憩いの家公衆トイレ,湯浅町大字吉川923-1,34.0501,135.18371,なし,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,男女兼用
広川町,1,広川町観光案内所公衆トイレ,広川町大字広1324,34.02596,135.17312,なし,開館時,,,,有,1,,,,1,,1,1,,3,フック,,,,3,3,,,,,,,
広川町,2,広川ビーチ駅（ふれあい館）公衆トイレ,広川町山本971-1,34.01317,135.16358,なし,終日,,,,,1,,,,1,1,1,1,,2,,,,,1,1,,,,,,,
広川町,3,小浦公衆トイレ,広川町大字山本1897,34.019608,135.152094,あり,終日,,,,,,,,,,,,,1,2,フック,,,,,,2,,フック,,,,
広川町,4,稲むらの火の館公衆トイレ,広川町広671,34.025884,135.173021,なし,開館時,21,,2,,1,,,,1,,3,3,,5,,,,,6,6,1,,,,,,
広川町,5,東濱口公園公衆トイレ,広川町広1292-2,34.0265421,135.1718822,なし,開館時,,,,,1,,,,1,,1,1,,1,,,,,1,1,,,,,,,
広川町,6,樫長公衆トイレ,広川町大字西広1317-4,34.013828,135.146338,あり,終日,,,,,,,,,,,,,1,1,,,,,,,,,,,,,男女兼用
広川町,7,西広ふれあいの森公衆トイレ,広川町大字西広1-2,34.009026,135.151821,あり,終日,,,,有,,,,,,,1,1,1,3,フック,,,,1,1,2,,フック,,,,
広川町,8,男山焼会館公衆トイレ,広川町大字上中野88-2,34.015665,135.17822,なし,開館時,,,,有,1,,,,1,,1,1,,2,,,,,2,2,,,,,,,
広川町,9,霊巖寺公衆トイレ,広川町大字下津木501-1,34.007137,135.222987,あり,終日,,,,,,,,,,,,,1,1,,,,,,,,,,,,,男女兼用
広川町,10,広川ダム下公衆トイレ,広川町大字下津木1619番地先,33.973988,135.231846,あり,終日,,,,有,,,,,,,,,1,1,フック,,,,,,,,,,,,男女兼用
広川町,11,広川町役場前公衆トイレ,広川町広1471,34.0306802,135.1724449,なし,終日,,,,,1,,,,1,,1,1,,2,,,,,1,1,1,,,,,,
広川町,12,広川ダム公園公衆トイレ,広川町大字下津木地内,33.980374,135.244495,あり,終日,10,,,,1,,,,1,,,,1,1,,,,,,,,,,,,,男女兼用
広川町,13,熊野古道公衆トイレ,広川町大字河瀬172,33.996362,135.193967,あり,終日,7,,,,1,,,,1,,,,1,1,フック,,,,,,,,,,,,男女兼用
広川町,14,濱口悟陵史跡散策公衆トイレ,広川町広地内,34.0260802,135.1697567,なし,終日,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,男女兼用
広川町,15,広公民館公衆トイレ,広川町広538-1,34.025901,135.17423,なし,開館時,,,,,1,,,,1,,3,3,,3,,,,,,,,,,,,,男女兼用
広川町,16,西･北集会所公衆トイレ,広川町広241-1,34.029401,135.178428,なし,施設開放時,,,,,,,,,,,1,1,,2,フック,,,,,,,,,,,,男女兼用
広川町,17,熊之町集会所公衆トイレ,広川町広66-2,34.026953,135.181775,なし,施設開放時,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,男女兼用
広川町,18,津木の里散策公衆トイレ,広川町大字上津木地内,33.9704522,135.1998588,なし,終日,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,男女兼用
広川町,19,広村堤防公衆トイレ,広川町広地内,34.027104,135.171267,なし,終日,,,,,1,,,,1,1,,,,1,,,,,,,1,,,,,,
有田川町,1,田口砂防公園公衆トイレ,有田川町田口1011,34.086014,135.195497,あり,終日,10,,1,,1,,,,1,,,,1,2,フック/その他,,,,,,,,,,,,男女兼用
有田川町,2,千葉の森公園公衆トイレ,有田川町大賀畑,34.094748,135.205248,あり,終日,,,,30,,,,,,,,,1,2,フック,,,,,,2,,フック,,,,
有田川町,3,鷲ヶ峰コスモスパ－ク公衆トイレ,有田川町長谷611,34.092767,135.235338,あり,終日,30,,,,,,,,,,,,3,4,,,,,,,,,,,,,男女兼用
有田川町,4,鷲ヶ峰コスモスパ－ク「風の館」公衆トイレ,有田川町長谷612,34.093059,135.234411,あり,10:00～17:00　　　　　　　　　　　風の館開館日のみ　　　（不定休）,30,,1,,1,,,,,,,,1,2,フック,,,,,,2,,,,,,風の館開館日のみ（不定休）
有田川町,5,ＪＲ藤並駅公衆トイレ（西口側）,有田川町明王寺34-7,34.057209,135.196389,あり,終日,,8,1,,1,1,,,1,,,,1,,,,,,,,,,,,,,男女兼用
有田川町,6,ＪＲ藤並駅公衆トイレ（東口側）,有田川町明王寺34-7,34.057082,135.196672,あり,終日,,30,2,,1,1,,,1,1,,,1(1),2(1),棚/フック,,1,,1(1),1,1,,棚/フック,,1,1,
有田川町,7,花の里河川公園公衆トイレ,有田川町庄921,34.071677,135.235884,なし,9：00～17：00　　　　　　　　　　キャンプシーズン中のみ使用可,,,,5,1,,,,1,,1,1,1,1,,,,,,,,,,,,,キャンプシーズン中のみ使用男女兼用
有田川町,8,花の里公園公衆トイレ,有田川町庄921,34.071762,135.234522,あり,終日,,,,5,1,,,,1,,,,1,2,フック,,,,1,1,1,,フック,,,,
有田川町,9,明恵の里スポーツ公園公衆トイレ,有田川町中井原738-2,34.056778,135.262501,なし,終日,4,,,,2,,,,2,,1,1,1,5,,,,,4,4,1,,,,,,
有田川町,10,金屋河川敷公衆トイレ,有田川町金屋900,34.05652,135.253338,あり,終日,,,,,1,,,,1,,,,1,1,フック,,,,1,1,1,,フック,,,1,
有田川町,11,旧金屋庁舎前公衆トイレ,有田川町金屋322-1,34.064384,135.253688,あり,終日,20,,1,,1,1,,,1,1,,,1,1,フック,,,,1,1,1,,フック,,,1,
有田川町,12,道の駅「しらまの里」公衆トイレ,有田川町宇井苔213-1,34.015088,135.334558,あり,終日,30,,1,,1,,,,1,1,,,1,2,棚/フック,,,,5,5,1,,棚/フック,,,5,
有田川町,13,道の駅「明恵ふるさと館」公衆トイレ,有田川町金屋322-1,34.054121,135.26279,あり,終日,30,,1,,1,1,,,1,1,,,1,3(1),フック,,,,3,3,1,,フック,,,3,
有田川町,14,金屋テニス公園公衆トイレ,有田川町吉原1138-1,34.045898,135.248664,あり,終日,30,,,,,,,,,,1,1,,4,,,,,2,2,,,,,,,
有田川町,15,粟生町営前公衆トイレ,有田川町粟生211,34.047741,135.336184,あり,終日,,,,2,,,,,,,,,1,2,,,,,,,2,,,,,,
有田川町,16,粟生巌公衆トイレ,有田川町粟生894,34.049284,135.352252,あり,終日,,,,1,,,,,,,,,3,4,,,,,,,,,,,,,男女兼用
有田川町,17,二川ダム公園公衆トイレ,有田川町二川509-2,34.078728,135.358023,あり,終日,10,,,,,,,,,,1,,,4,,,,,,,2,,,,,,
有田川町,18,楠本公衆トイレ,有田川町楠本548,34.091637,135.368283,あり,終日,1,,1,,1,,,,,,,,,1(1),,,,,,,,,,,,,男女兼用
有田川町,19,楠本札立峠公衆トイレ,有田川町楠本1490-82,34.115999,135.346724,あり,終日,10,,,有,1,,1,,1,1,1,1,1,2(1),フック,,,1,2,2,1,,フック,,1,1,
有田川町,20,道の駅「あらぎの里」公衆トイレ,有田川町二田662-1,34.093066,135.412911,あり,終日,23,,2,,1,,,,1,1,1,1,1,3(1),フック,,,1,2,2,1,,フック,1,,2,
有田川町,21,三田集落センター公衆トイレ,有田川町三田461-2,34.093245,135.417454,あり,終日,,,,20,,,,,,,1,1,,,,,,1,,,,,,,,,男女兼用
有田川町,22,泉水（しみず温泉前公衆トイレ）,有田川町清水1224-2,34.082553,135.431985,あり,終日,30,,,,,,,,,,,,1,2,フック,,,,1,1,1,,フック,,,1,
有田川町,23,有田川町鉄道交流館公衆トイレ,有田川町徳田124-1,34.065604,135.246414,なし,10：00～17：00,15,,,,1,,,,1,,,,1,1,,,,,1,1,,,,,,,
有田川町,24,道の駅「しみず」公衆トイレ,有田川町清水607,34.088278,135.443519,あり,終日,108,,2,,1,,,,1,1,1,1,1,4,フック/その他,,,,3,3,1,,フック/その他,,,,
有田川町,25,下湯川公衆トイレ,有田川町下湯川353-3,34.059542,135.476197,あり,終日,,,,5,,,,,,,,,1,1,,,,,,,,,,,,,男女兼用
有田川町,26,安諦地区基幹集落センター（安諦出張所）公衆トイレ,有田川町板尾219-3,34.119209,135.490495,なし,終日,,,,10,,,,,,,1（1）,,2,3,,,,,,,,,,,,,男女兼用
有田川町,27,上湯川公衆トイレ,有田川町上湯川377,34.062104,135.492175,あり,終日,,,,5,,,,,,,1,,,1,,,,,,,,,,,,,男女兼用
御坊市,1,ふれあい水辺公園藤井公衆トイレ,御坊市藤田町,33.905703,135.176625,なし,終日,50,,1,,1,1,,,,,,,,,,,,,1,,1,,,,,,台風で使用不可男性トイレと多目的トイレは兼用
御坊市,2,ふれあい水辺公園せせらぎ広場公衆トイレ,御坊市野口,33.902894,135.189303,あり,イベント時のみ開放,100,,,,1,,,,,,,,1(1),,フック,,,,,,1(1),,フック,,,,
御坊市,3,野口オートキャンプ場,御坊市野口,33.897406,135.193113,なし,終日,100,,,,1,1,1,,1,,1,1,1,1,,,,,4,4,2,,,,,,
御坊市,4,日高港塩屋緑地公衆トイレ,御坊市塩屋町南塩屋,33.867235,135.159807,あり,終日,15,,1,,1,,,,,,,,1,2,フック,,,,,,2,,フック,,,,
御坊市,5,御坊駅公衆トイレ,御坊市湯川町小松原,33.9077659,135.1593417,なし,終日,,,,有り,1,1,1,,1,1,1,1,1,2,,,,,2,2,1,,,,,,
御坊市,6,まちなみの駅,御坊市薗637-1,33.885059,135.154622,なし,終日,6,,1,,1,1,1,,1,1,1,1,,2,,,,,2,1,1,,,,,2,
御坊市,7,八幡山公園公衆トイレ,御坊市藤田町吉田,33.913205,135.170009,なし,終日,,,,有り,,,,,,,,,1,1,,,,,,,1,,,,,,
美浜町,1,潮騒かおる公園公衆トイレ,美浜町和田1979,33.892459,135.1254207,あり,終日,,,1,,1,1,,,,,1,1,,2,フック,,,,2,2,,,フック,,,,
美浜町,2,自衛隊前公衆トイレ,美浜町和田1138,33.893959,135.125501,あり,終日,,,,,1,,,,1,1,,,1,2,フック,,,,1,1,1,,,,,,
美浜町,3,若者広場公衆トイレ,美浜町945-1,33.8931461,135.1060116,なし,終日,,,,,,,,,,,1(1),1,,3(1),,,,,2,2,,,,,,,
美浜町,4,浜ノ瀬緑地公園内トイレ（日高港浜ノ瀬緑地）,美浜町浜ノ瀬海浜地,33.878046,135.151319,あり,終日,,,,,1,1,,,,,,,1(1),2,フック,,,,2,,,,,,,,
美浜町,5,煙樹ヶ浜キャンプ場トイレ,美浜町吉原,33.891162,135.128016,なし,終日,,,,,1,,,,,,,,3,3(1),フック,,,,,,,,,,,,兼用・多目的別
美浜町,6,西山ピクニック緑地公衆トイレ1,日高町日高町産湯　,33.911476,135.084233,あり,終日,,,,,,,,,,,,,1,3,フック,,,,,,3,,棚/フック,,,,日高町と美浜町の境目にある所で、住所は日高になってます
日高町,1,日高町役場横公衆トイレ,日高町高家626,33.925867,135.141271,あり,8：30～22：00,21,,1,,1,,,,1,,,,,,,,,,,,,,,,,,男女兼用
日高町,2,谷口公衆トイレ,日高町志賀,33.948552,135.096201,なし,,,,,,,,,,,,,,1,2,,,,,1,1,2,,,,,,
日高町,3,温泉館「海の里」みちしおの湯公衆トイレ,日高町方杭100,33.938241,135.087008,あり,終日,50,,2,,1,1,,,,,,,1(1),2(1),フック,,,,,,2(2),,フック,,,,
日高町,4,比井地区公衆トイレ,日高町比井79-1,33.918171,135.079392,あり,終日,,,,5,1,,,,1,,,,1,1,フック,,,,,,,,,,,,兼用
日高町,5,産湯パブリックトイレ,日高町産湯728-1,33.907376,135.082784,あり,終日,100,,2,,1,,,,1,1,1(1),1,1(1),5(1),棚/フック,,,,1(1),1,3(3),,フック,,,,
日高町,6,阿尾漁港内公衆トイレ,日高町阿尾108-4,33.902657,135.076934,あり,終日,,,1,3,1,,,,1,1,,,1(1),2(1),フック,,,,,,2(1),,フック,,,,
日高町,7,金魚茶屋駐車場公衆トイレ,日高町原谷900,33.975951,135.169814,あり,終日,,,,10,1,,,,,,,,,2,,,,,1,,2,,フック,,,,男性のみ多目的兼用
日高町,8,小中公衆トイレ,日高町小中,33.924181,135.1308616,なし,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,男女兼用
日高町,9,小浦地区公衆トイレ,日高町小浦86-3,33.927443,135.073744,あり,終日,8,,1,,1,,,,1,1,,,1(1),1(1),他,,,,,,1(1),,フック,,,,10/16土砂崩れの為、一部通行止め
日高町,10,萩原公衆トイレ,日高町荻原,33.9299075,135.141346,なし,,,,,,,,,,,,1,1,,3,,,,,1,1,2,,,,,,
日高町,11,高家地区公衆トイレ,日高町高家914,33.917801,135.137863,あり,終日,9,,1,,1,,,,1,,,,,,,,,,,,,,,,,,男女多目的兼用
日高町,12,クヌッセン機関長救命艇展示施設公衆トイレ,日高町高屋626,33.894559,135.065246,あり,終日,3,,1,,1,,1,,1,,,,1(1),1(1),フック,,,,,,1(1),,フック,,,,
日高町,13,内原王子神社公衆トイレ（近畿自然内原王子公衆便所）,日高町大字萩原1670,33.934831,135.140262,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,
由良町,1,阿戸公衆トイレ,由良町阿戸1002-37,33.956145,135.111419,あり,終日,,,1,,1,,,,1,1,1,1,,2(1),フック,,,1,1,1,1(1),,フック,,,1,
