市町村名,№,トイレ名　　　　　　　　　　　　　　　　　　　　　　　　　　　,住所,緯度,経度,現況写真　　（外観、内部）,利用可能時間,一般利用者用駐車場・無料,一般利用者用駐車場・有料,障害者用駐車場,駐車場スペース,多目的トイレ設備内容・洋式,多目的トイレ設備内容・ベビーベッド,多目的トイレ設備内容・ベビーチェア,多目的トイレ設備内容・介護用ベッド,多目的トイレ設備内容・温水洗浄洗浄,多目的トイレ設備内容・オストメイト洗浄,一般トイレ設備内容・男性用トイレ・洋式,一般トイレ設備内容・男性用トイレ・温水洗浄便座,一般トイレ設備内容・男性用トイレ・和式,一般トイレ設備内容・男性用トイレ・小便器,一般トイレ設備内容・男性用トイレ・荷物置き場,一般トイレ設備内容・男性用トイレ・ベビーベッド,一般トイレ設備内容・男性用トイレ・ベビーチェア,一般トイレ設備内容・男性用トイレ・音姫,一般トイレ設備内容・女性用トイレ・洋式,一般トイレ設備内容・女性用トイレ・温水洗浄便座,一般トイレ設備内容・女性用トイレ・和式,一般トイレ設備内容・女性用トイレ・小便器,一般トイレ設備内容・女性用トイレ・荷物置き場,一般トイレ設備内容・女性用トイレ・ベビーベッド,一般トイレ設備内容・女性用トイレ・ベビーチェア,一般トイレ設備内容・女性用トイレ・音姫,設備備考
由良町,2,白崎海洋公園パークセンター内公衆トイレ,由良町大引960-1,33.977084,135.072377,あり,8：30～17：15,80,,2,,1,,,,1,1,1,1,1,3,フック,,,1,2,2,1,,フック,1,,2,
由良町,3,吹井公衆トイレ,由良町神谷,33.957866,135.095876,あり,終日,22,,1,,1,,,,,,,,1,1,フック,,,,,,1,,フック,,,,
由良町,4,神谷公衆トイレ,由良町神谷466-2,33.957583,135.090014,あり,終日,5,,,,1,,,,1,,,,1(1),2,フック,,,,,,2,,フック,,,,
由良町,5,汐入橋公衆トイレ,由良町大引780-5,33.967095,135.086703,あり,終日,,,,2,1,,,,1,1,1,1,,2,フック,,,,1,1,1,,フック,,,,
由良町,6,大引西公衆トイレ,由良町大引616-1,33.970046,135.082777,あり,終日,,,,,1,,,,1,1,1,1,,1,フック,,,,1,1,,,フック,,,,
由良町,7,白崎万葉公園公衆トイレ,由良町大引956-5,33.971984,135.079348,あり,終日,,,,2,1,,,,1,1,1,1,,2,フック,,,,1,1,1,,フック,,,,復旧工事中※令和2年2月末完成予定
由良町,8,道の駅白崎海洋公園公衆トイレ（パークセンター側）,由良町大引960-1,33.976368,135.072243,あり,終日,80,,2,,1,,,,1,1,1,1,1,4,フック,,,1,1,1,3,,フック,,,1,
由良町,9,白崎海洋公園公衆トイレ（オートキャンプ場側）,由良町大引960-1,33.976626,135.070388,あり,終日,80,,2,,1,,,,1,1,1,1,,2(1),フック,,,1,1,1,1,,フック,,,1,復旧工事中
由良町,10,小引農村広場公衆トイレ,由良町小引543,33.978767,135.088693,あり,終日,,,,1,1,,,,1,1,1,1,,1,フック,,,,1,1,,,フック,,,,
由良町,11,戸津井公衆トイレ,由良町戸津井187-3,33.988474,135.09411,あり,終日,,,1,1,1,,,,1,1,1,1,,1(1),フック,,,1,1,1,,,フック,,,1,
由良町,12,漁港美化推進施設公衆トイレ（衣奈公衆トイレ）,由良町衣奈43-9,33.990651,135.105673,あり,終日,,,,3,1,,,,1,1,1,1,,1(1),フック,,,1,1,1,,,フック,,,1,
由良町,13,ゆらっと紀州公衆トイレ（旧原邸）,由良町中257,33.97418581,135.13857365,あり,終日,17,,2,,1,,,,1,1,1,1,,2,フック,,,,2,2,,,フック,,,,
由良町,14,町民公園公衆トイレ,由良町吹井910-1,33.971207,135.111491,あり,終日,,,1,,1,,,,1,1,1,1,,2(1),フック,,,1,1,1,,,フック,,,1,
印南町,1,共栄公衆トイレ,印南町大字宮ノ前368番地の5,33.822067,135.251632,あり,終日,1,,1,1,1,,1,,1,1,,,1,2,,,,,1,1,1,,,,,,
印南町,2,印南駅前公衆トイレ,印南町印南大字2643番地の1,33.8180145,135.2197418,あり,終日,3,,1,2,1,,1,,1,1,1,1,0,2,,,,1,2,2,,,,,,2,
印南町,3,印南浜公衆トイレ,印南町大字印南4484番地の40,33.812935,135.218621,あり,終日,,,,30,,,,,,,,,2,1,,,,,,,,,,,,,男女兼用
印南町,4,印南浜西公衆トイレ,印南町大字印南4485番地の34,33.814203,135.214460,あり,終日,,,,30,,,,,,,2,2,,2,,,,,,,,,,,,,男女兼用
印南町,5,真妻公衆トイレ,印南町大字高串38番地の1,33.880205,135.321800,あり,終日,2,,1,50,1,,1,,1,1,1,1,,2,,,,,2,2,,,,,,,
印南町,6,切目駅前公衆トイレ,印南町大字島田1163番地の2,33.797187,135.240967,あり,終日,,,1,5,1,,1,,1,1,1,1,,2,,,,1,2,2,,,,,,2,
印南町,7,稲原駅前公衆トイレ,印南町大字印南原1049番地の2,33.852928,135.229738,あり,終日,3,,1,,1,,1,,1,1,1,1,,2,,,,,2,2,,,,,,,
みなべ町,1,森の鼻休憩所公衆トイレ,みなべ町堺578,33.742561,135.328415,あり,終日,35,,1,,1,1,,,1,,,,1(1),2,フック,,,,1,1,1(1),,フック,,,,
みなべ町,2,二子の浜公衆トイレ,みなべ町埴田1430,33.751369,135.325339,あり,終日,,,,2,1,,,,,,,,1,2(1),棚/フック,,,,1,,1,,棚/フック,,,,
みなべ町,3,JR岩代駅前公衆トイレ,みなべ町西岩代1561-2,33.780757,135.278992,あり,終日,3,,1,,1,1,,,1,,,,1,1(1),フック,,,,,,1,,,,,,
みなべ町,4,岩代大梅林公衆トイレ,みなべ町西岩代,33.7945652,135.300259,あり,終日,60,,1,,1,1,,,,,,,1,2,フック/他,,,,1,,1,,フック,,,,
みなべ町,5,南部梅林梅公園公衆トイレ,みなべ町晩稲,33.783662,135.344814,あり,梅林開園期間中終日,6,,1,,1,1,,,1,,1,,,1,フック/他,,,,1,,,,フック/他,,,,
みなべ町,6,道の駅「みなべうめ振興館」公衆トイレ,みなべ町谷口538-1,33.790795,135.3273,あり,終日,45,,2,,1,,,,1,1,1,1,,3,フック/他,,,,2,2,1,,フック,,,,
みなべ町,7,紀州備長炭振興館内公衆トイレ,みなべ町清川1267,33.851291,135.395176,なし,8:30～17:00土曜日休館,,,1,30,,,,,,,1,1,1,2,,,,,,,,,,,,,男女兼用
みなべ町,8,南部梅林駐車場公衆トイレ,みなべ町晩稲,33.783662,135.337594,あり,梅林開園期間中終日,,,1,50,1(1),1,,,1,,,,1,2(1),フック,,,,1,,1,,フック,,,,
みなべ町,9,JR　南部駅前公衆トイレ,みなべ町芝371-2,33.767486,135.324339,あり,終日,,,,,1,1,,,1,1,2,2,,3(1),,,,,3,3,,,,,,,
みなべ町,10,島ノ瀬ダム公衆トイレ,みなべ町東神野川1641-3,33.843384,135.373147,あり,終日,4,,1,,1(1),1,,,1,,,,1,2,フック,,,,,,,,,,,,男女兼用
みなべ町,11,小目津公園公衆トイレ,みなべ町山内368-2,33.768411,135.305096,あり,終日,18,,2,,1,,,,1,,1,,,2,他,,,,2,,,,フック,,,,
みなべ町,12,目津公衆トイレ,みなべ町山内,33.766961,135.298565,あり,終日,,,,20,1,,,,1,,1,1,,2(1),フック,,,,2,2,,,フック/他,,,,
みなべ町,13,うめ振興館内公衆トイレ,みなべ町谷口538-1,33.7907618,135.3271937,なし,9:00～17:00火曜日休館,45,,2,,1,1,1,,1,,1,1,1,5,,,,,3,3,2,,,,,,3階：男、女・多目1階：男・女
日高川町,1,かわべテニス公園公衆トイレ,日高川町和佐2095,33.895769,135.213638,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日高川町,2,JR和佐駅前公衆トイレ,日高川町和佐1429-1,33.897416,135.207456,あり,終日,,,,10,1,1,,,1,簡易式,1,1,,2,フック,,,,2,1,,,フック,,,,
日高川町,3,森林公園公衆トイレ,日高川町大字初湯川地内,33.956654,135.384787,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日高川町,4,大滝川森林公園公衆トイレ,日高川町山野2021,33.89811,135.267825,あり,終日,,,,15,,,,,,,1(1),1,,2,他,,,,2,1,,,棚,,,,
日高川町,5,道の駅「SanPin」中津公衆トイレ,日高川町船津794,33.950253,135.263339,あり,終日,,,1,14,1,,,,1,簡易式,1,1,,2,フック,,,,3,1,,,フック,,,,
日高川町,6,寒川公衆トイレ,日高川町寒川137-1,33.954684,135.465913,あり,終日,,,,3,1,,,,,簡易式,1,,,1,他,,,,1,,,,フック,,,,女性、多目的兼用
日高川町,7,鳴滝キャンプ場管理棟公衆トイレ,日高川町高津尾1471-2,33.948887,135.301098,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日高川町,8,第2鳴滝キャンプ場管理棟公衆トイレ,日高川町高津尾1013-3,33.950799,135.296237,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日高川町,9,第2鳴滝キャンプ場前公衆トイレ,日高川町高津尾1013-4,33.950986,135.296572,あり,終日,,,2,20,1,,,,,,,,1,2,棚/フック/他,,,,,,2,,棚/フック,,,,
日高川町,10,鷲の川渓流アマゴ釣り公園公衆トイレ,日高川町田尻550-8,33.929578,135.336065,あり,終日,,,,10,,,,,,,1,1,,2,他,,,,,,,,,,,,兼用
日高川町,11,日高川町役場美山支所前公衆トイレ,日高川町川原河202-1,33.981866,135.366852,あり,終日,,,,30,1,1,1,,1,簡易式,1,1,,1(1),フック/他,,,,,,,,,,,,兼用
日高川町,12,美山若者広場公衆トイレ,日高川町初湯川1911-14,33.959886,135.387581,なし,終日,,,,50,1,,,,1,簡易式,簡易式,1,,4,他,,,,4,1,,,棚,,,,
日高川町,13,日高川ふれあいドーム公衆トイレ,日高川町高津尾1046,33.957801,135.295302,あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日高川町,14,グリーンパーク椿山公衆トイレ,日高川町初湯川1881-3,33.965124,135.392786,あり,終日,,,,10,,,,,,,,,1,1,フック/他,,,,,,2,,フック,,,,
日高川町,15,浪瀬公衆トイレ,日高川町初湯川1949-1,33.96503,135.39666,あり,終日,,,,15,1,,,,1,簡易式,2,1,,2,棚,,,,2,1,,,棚/フック,,,,
日高川町,16,猪谷パーク公衆トイレ,日高川町初湯川1737,33.967621,135.421752,あり,終日,,,2,28,1,1,1,,,,,,1,2(1),棚/フック,,,,1(1),,1(1),,棚/フック,,,,
日高川町,17,かわべ天文公園駐車場公衆トイレ,日高川町和佐2106-1,33.894132,135.214154,なし,終日,,,,50,2,,,,2,簡易式,1,1,1,4,,,,,3,3,1,,,,,,多目的トイレが2つあり
日高川町,18,かわべ天文公園コスモポート公衆トイレ,日高川町和佐2107-1,33.894619,135.216957,なし,終日,,,,50,2,,,,2,簡易式,1,1,,5,フック/他,,,,2,2,2,,フック/他,,,,多目的トイレが2つあり
日高川町,19,かわべ天文公園コスモポート観星棟公衆トイレ,日高川町和佐2107-1,33.894783,135.217429,なし,,,,,,1,,,,1,,1,1,,1,,,,,1,1,,,,,,,
日高川町,20,愛徳荘公衆トイレ,日高川町初湯川202,33.959372,135.386508,なし,,,,,,,,,,,,4,4,3,15,,,,,8,8,4,,,,,,
日高川町,21,愛徳荘ログハウス公衆トイレ,日高川町初湯川202,33.95924,135.386927,なし,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,男女兼用
田辺市,1,奥熊野古道本宮公衆トイレ,田辺市本宮町伏拝,33.864812,135.762145,あり,終日,,,,,1,,,,1,簡易型,1(1),1,1(1),4(1),フック,,,1,1,1,4,,フック,,,,トイレ内中央にオストメイト1
田辺市,2,発心門公衆トイレ（休憩所）,田辺市本宮町三越,33.861159,135.723575,あり,終日,,,,,1,1,,,,,1,,1,2(1),フック,,,,1,,2,,フック,,,,
田辺市,3,伏拝公衆トイレ（休憩所）,田辺市本宮町伏拝,33.860244,135.756998,あり,終日,,,,,,,,,,,1,,1,2(1),,,,,1,,2,,フック,,,,
田辺市,4,八木尾公衆トイレ,田辺市本宮町切畑,33.877817,135.759845,あり,終日,,,,,,,,,,,,,1,2,フック,,,,1,,1,,フック,,,,
田辺市,5,船玉広場（赤木越入口）公衆トイレ,田辺市本宮町三越,33.85621,135.717046,あり,終日,,,,,,,,,,,,,1,1,フック,,,,,,2,,フック,,,,
田辺市,6,湯峯公衆トイレ（県立）,田辺市本宮町湯峯,33.82764,135.756738,あり,終日,,,,,1,1,,,,,,,1,2(1),フック,,,,,,2,,棚/フック,,,,
田辺市,7,請川公衆トイレ（県立）,田辺市本宮町請川,33.821762,135.792676,あり,終日,,,,,1,1,,,,標準型,,,1(1),2(1),フック,,,,1(1),,2(2),,棚/フック,,1,,
田辺市,8,扇ヶ浜海岸駐車場公衆トイレ,田辺市扇ヶ浜地先,33.727569,135.376646,あり,終日,,400,6,,1,,,,1,簡易型,,,1,2,,,,,,,1,,,,,,
田辺市,9,新川湯広場公衆トイレ,田辺市本宮町川湯,33.812369,135.772483,あり,終日,,,,,1,1,,,1,簡易型,,,1,1,フック,,,,1,1,1,,フック,,,,
田辺市,10,芳養公園公衆トイレ,田辺市芳養町地内,33.750269,135.349349,なし,終日,,,,,1,,,,1,1,,,1,1,,,,,,,1,,,,,,
田辺市,11,小雲取公衆トイレ（県立）,田辺市本宮町皆瀬川,33.79785,135.821588,あり,終日,3,,,,,,,,,,1,,,,,,,,,,,,,,,,
田辺市,12,音無川公衆トイレ,田辺市本宮町本宮,33.834843,135.773083,あり,終日,8,,1,,1,1,,,1,標準型,,,1,2(1),フック,,,,1,1,1,,フック,,,,男女兼用
田辺市,13,水呑王子公衆トイレ,田辺市本宮町三越,33.858325,135.736729,あり,終日,,,,,,,,,,標準型,1,1,,,他,,,,,,,,,,,,男女兼用
田辺市,14,世界遺産熊野本宮館公衆トイレ（北・南館）,田辺市本宮町本宮,33.838537,135.775593,あり,9：00～17：00,56,,2,,2,,,,1,標準型,4,4,,7(2),フック,,,,8,1,,,フック,,,,
田辺市,15,滝尻公衆トイレ,田辺市中辺路町栗栖川,33.774931,135.503855,あり,終日,,,,,1,,,,1,簡易型,,,1,,フック,,,,1,1,1,,フック,,,1,
田辺市,16,牛馬童子公衆トイレ,田辺市中辺路町近露,33.812079,135.595043,あり,終日,,,,,1,,,,,,,,1,3,,,,,3,1,4,,フック,,,1,女性用の温水洗浄便座は洋のみ
田辺市,17,中辺路新滝尻公衆トイレ,田辺市中辺路町栗栖川,33.7755,135.504547,あり,終日,,,,,1,1,,,1,1,1,1,,3(1),フック,,,,2,1,1,,フック,,1,,
田辺市,18,水上公衆トイレ,田辺市中辺路町水上,33.825749,135.485437,あり,終日,10,,,,1,,,,1,,1,,1,3(1),フック,,,,1,1,4,,棚,,,1,
田辺市,19,真砂公衆トイレ,田辺市中辺路町真砂,33.758518,135.497972,あり,終日,4,,,,,,,,,,,,1(1),1(1),棚,,,,1,1,2,,棚,,,,
田辺市,20,野中公衆トイレ,田辺市中辺路町野中,33.828716,135.635901,あり,終日,,,,,1,,,,1,簡易型,,,1,1,フック,,,,1,1,2,,フック,,,,女性用の温水洗浄便器は洋のみ
田辺市,21,小広公衆トイレ,田辺市中辺路町野中,33.835841,135.658716,あり,終日,4,,,,1,,,,,,,,1,1(1),棚,,,,,,,,,,,,男女兼用
田辺市,22,新近露王子公衆トイレ,田辺市中辺路町近露,33.814509,135.605904,あり,終日,2,,,,1,,1,,,簡易型,,,1(1),2(1),棚/フック,,,,,,2(2),,棚/フック,,,,隣に足湯あり（年末除く１１：００～１６：００）
田辺市,23,近露公衆トイレ,田辺市中辺路町近露,33.812596,135.606427,あり,終日,35,,1,,1,,,,1,簡易型,1(1),1,1(1),5(2),フック,,,1,1(1),1,3,,フック,,,1,
田辺市,24,十丈王子公衆トイレ,田辺市大内川,33.800729,135.559467,あり,終日,18,,,,,,,,,,2(2),,,,他,,,,,,,,,,,,男女兼用
田辺市,25,乙女の湯公衆トイレ,田辺市下川下,33.742052,135.585197,あり,終日,,,,,,,,,,,,,1(1),1,フック,,,,1(1),1,1,,フック,,,,
田辺市,26,ふるさとセンター大塔公衆トイレ,田辺市鮎川,33.742929,135.502408,あり,終日,13,,2,,1,,,,1,簡易型,,,1,1,棚,,,,,,,,,,,,男女兼用
田辺市,27,三軒茶屋公衆トイレ,田辺市本宮町大居,33.858288,135.775118,なし,終日,,,,,,,,,,,2,,,,,,,,,,,,,,,,男女兼用
田辺市,28,道の駅「田辺市龍神ごまさんスカイタワー」公衆トイレ,奈良県吉野郡十津川村大字杉清地内,34.061517,135.564514,あり,終日,,,,50,1,,,,1,1,1,1,,3,棚/フック,,,,2,1,1(1),,棚/フック,,,,
田辺市,29,大熊公衆トイレ,田辺市龍神村龍神,33.991408,135.55475,あり,終日,,,,5,,,,,,,,,1,3,,,,,,,4,,,,,,
田辺市,30,皆瀬公衆トイレ,田辺市龍神村龍神,33.967208,135.564849,あり,終日,,,,1,,,,,,,,,2,4,,,,,,,4(1),,,,,,
田辺市,31,季楽里龍神前公衆トイレ,田辺市龍神村,33.9683993,135.5628991,なし,終日,,,,11,1,1,,,1,1,1,,1,3,,,,,1,,3,,,,,,
田辺市,32,紀の国新王子公衆トイレ,田辺市龍神村龍神,33.965252,135.564395,あり,終日,,,,3,1,,,,1,簡易型,,,1,2,フック,,,,1,1,1,,フック,,,,
田辺市,33,龍神温泉公衆トイレ,田辺市龍神村龍神59,33.956307,135.562378,あり,終日,,,,,1,1,,,1,簡易型,1(1),1,1(1),3(1),棚/フック,,,,2,1,2,,フック,,,,棚小さい、女性用の温水洗浄便座は洋に１つのみ
田辺市,34,殿原公衆トイレ,田辺市龍神村殿原1286-2,33.900606,135.533439,あり,終日,,,,5,1,,,,1,1,1,1,1,1,,,,,,,,,,,,,男女兼用、温水洗浄便座は動かない
田辺市,35,古道ヶ丘公衆トイレ,田辺市中辺路町栗栖川,33.785708,135.507552,なし,終日,,,,,,,,,,,1,1,,2,,,,,2,2,,,,,,,
田辺市,36,虎ヶ峰公衆トイレ,田辺市龍神村柳瀬上笹ノ川1695-29,33.858142,135.462602,あり,終日,,,,15,1,,,,1,,1,1,,2,フック,,,,1,1,1,,フック,,,,
田辺市,37,小菅公衆トイレ,田辺市龍神村福井,33.895403,135.439396,あり,終日,,,,,1,,,,1,,,,1,3,他,,,,1,1,2,,フック,,,,女性用の温水洗浄便座は洋にのみ、フックは和のみ、個室外にベビーベッドあり
田辺市,38,小家公衆トイレ,田辺市龍神村小家673,33.933451,135.427032,あり,終日,,,,,,,,,,,,,1,2,フック,,,,,,,,,,,,男女兼用
田辺市,39,田辺梅林公衆トイレ,田辺市上芳養石神,33.823818,135.408037,あり,終日,,,,,1,,1,,1,標準型,1(1),1,,1,フック,,,,1(1),1,,,棚/フック,,,,
田辺市,40,高山寺公衆トイレ,田辺市稲成町392,33.740224,135.378167,あり,終日,,,,,1,1,,,1,,,,1(1),2(1),フック,,,,1(1),1,1(1),,フック,,,,
田辺市,41,ひき岩群国民休養地公衆トイレ,田辺市稲成町字動鳴気1627-1,33.764612,135.381893,あり,終日,,,,,1,,,,,,,,1,2,,,,,,,2,,棚/フック,,,,
田辺市,42,近畿自然歩道奇絶峡公衆トイレ,田辺市上秋津1416,33.781188,135.412215,あり,終日,,,,,1,1,,,,,,,1(1),1(1),棚/フック,,,,,,1(1),,フック,,,,
田辺市,43,紀州備長炭記念公園,田辺市秋津川1491-1,33.803251,135.427238,あり,終日,,,,,1,,,,1,標準型,1,1,1,4(1),フック,,,,2,1,3(1),,フック,,,,
田辺市,44,百間山公衆トイレ,田辺市熊野地内,33.713784,135.616681,なし,終日,,,,,1,,,,1,,,,1,1,,,,,,,1,,,,,,
田辺市,45,三越峠公衆トイレ,田辺市中辺路町道湯川,33.848523,135.69703,あり,8:00～17:00,,,,,,,,,,,1(1),,,,棚,,,,1,,,,棚,,,,
田辺市,46,天神崎元島防波堤前公衆トイレ,田辺市目良１５００－３,33.729443,135.351505,あり,終日,,,1,25,1,1,,,1,1,,,1,1,フック,,,,,,1,,フック,,,,
田辺市,47,天神崎丸山灯台前公衆トイレ,田辺市天神崎１４６２,33.726688,135.353702,あり,終日,,,,,1,1,,,1,1,,,1,1,フック,,,,,,1,,フック,,,,
田辺市,48,三川公衆トイレ,田辺市合川６３７－１６,33.689474,135.568402,あり,終日,,,,,1,,,,,,,,1,1,フック,,,,,,,,,,,,男女兼用
田辺市,49,田辺市観光センター公衆トイレ,田辺市湊,33.7328036,135.3843944,あり,終日,,,,,1,1,,,1,1,1,1,,3,フック,,,,2,2,1,,フック,,,,段差解消
田辺市,50,川湯野営場公衆トイレ１,田辺市本宮町川湯,33.8156496,135.7793839,なし,終日,,,,,,,,,,,,,,,,,,,,,,,,,,,キャンプ場内
田辺市,51,川湯野営場公衆トイレ２,田辺市本宮町川湯,33.8163357,135.7802791,なし,終日,,,,,,,,,,,,,,,,,,,,,,,,,,,キャンプ場内
田辺市,52,川湯駐車場公衆トイレ,田辺市本宮町川湯,33.813166,135.77625,あり,終日,,,2,33,1,1,1,,1,標準型,1,1,,1,フック,,1,,2,2,,,フック,,1,,
田辺市,53,潮見峠休憩所兼トイレ,田辺市中辺路町栗栖川1272-2,33.782468,135.480506,あり,終日,,,,15,,,,,,,2,,,,,,,,,,,,,,,,男女兼用
田辺市,54,田辺市街なかポケットパーク,田辺市湊,33.7301327,135.3828314,あり,終日,,,,,1,1,,,1,1,1,1,,2,フック,,,,2,2,,,フック,,,,
田辺市,55,柳瀬公衆トイレ,田辺市龍神村柳柳瀬,33.8798529,135.4739098,なし,終日,,,,10,1,1,1,,1,1,1,,,1,フック,,,,1,,,,フック,,,,
白浜町,1,崎の湯公衆トイレ,白浜町1688,33.6768216,135.3369493,あり,終日,,,,,1,,,,1,,1,1,,2,,,,,1,1,1,,,,,,
白浜町,2,JR紀伊富田駅前公衆トイレ,白浜町栄609-2,33.652768,135.39345,なし,,,,,,1,,,,1,1,1,1,,2,,,,,2,2,,,,,,,
白浜町,3,大辺路街道休息所公衆トイレ,白浜町安居1579,33.605581,135.484126,なし,,,,,,1,,,,1,1,,,,1,,,,,1,1,,,,,,,オストメイト簡易、多目的と男性兼用
白浜町,4,安居辻松峠公衆トイレ,白浜町安居1214-1,33.637482,135.413597,あり,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,和式男女兼用
白浜町,5,白良浜北公衆トイレ,白浜町864,33.683913,135.344199,あり,終日,,,,,1,,,,1,,,,1,2,フック,,,,1,1,1,,,,,,
白浜町,6,向平キャンプ村公衆トイレ,白浜町久木23,33.63352,135.468217,なし,終日,,,,,1,,,,1,,1,1,2,4,,,,,1,1,5,,,,,,多目的ﾄｲﾚ内に小便器が１つあります
白浜町,7,白良浜中央公衆トイレ,白浜町3121-8,33.682011,135.345357,あり,終日,,,,,2,,,,,,,,2,5(1),棚,,,,1,1,10,,棚(洋),,,,女性トイレ、赤ちゃん寝かせられる
白浜町,8,平草原公園公衆トイレ,白浜町2054-1,33.671158,135.348762,変更あり,終日,60,,1,,1,,,,1,1,2,2,,3(1),棚,,1,,4,4,,,棚,1,2,,
白浜町,9,JR椿駅公衆トイレ,白浜町椿330-2,33.60976,135.403908,あり,終日,,,,10,1,,1,1,0,1,,,1,1,棚/フック,,,,,,1,,棚/フック,,1,,
白浜町,10,千畳敷公衆トイレ,白浜町2927-75,33.670596,135.330946,あり,終日,41,,,,,,,,,,1,1,1,3,棚/フック,,,,1,1,3,,フック,,,,
白浜町,11,三段壁公衆トイレ,白浜町2927-1823,33.665877,135.335871,あり,終日,,,,,1,,,,1,,1(1),1,2,5(1),フック/他,,,,1,1,4,,フック,,,,
白浜町,12,三段駐車場公衆トイレ,白浜町2927-317,33.66591,135.337308,あり,終日,38,,,,1,,,,1,1,,,,2,,,,,1,1,1,,棚,,,,
白浜町,13,道の駅　志原海岸公衆トイレ,白浜町日置2039-117,33.570254,135.431736,あり,終日,,,4,60,1,1,,,1,1,1(1),,1,5(1),棚/フック,,1,,4(2),4,1,,棚／フック,,1,4,
白浜町,14,江津良公衆トイレ,白浜町107先,33.693094,135.350403,あり,終日,,,,,1,1,1,,,かんい式,1,1,,2(1),フック,,,,1,1,1,,フック,,,,
白浜町,15,JR白浜駅公衆トイレ,白浜町堅田1475,33.675694,135.38716,あり,終日,,,2,18,1,1,1,,,1,1,,,3(1),フック,,,,3,,,,フック,,,,
白浜町,16,白鳥公園公衆トイレ,白浜町十九渕274-5,33.660912,135.403649,あり,終日,,,,,1,,,,1,,1(1),1,,2(1),フック,,,,2,1,,,フック,,,,
白浜町,17,近畿自然歩道富田公衆トイレ,白浜町富田1206-1,33.642219,135.407186,あり,終日,,,1,10,1,,1,1,,1,1(1),1,,2(1),棚/フック,,,,1,1,1,,棚/フック,,1,,
